year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0	0	5399
1978	0	0	5529
1979	0	0	5279
1980	0	0	5420
1981	0	0	5329
1982	0.0022560631697687537	12	5319
1983	0.000946073793755913	5	5285
1984	0.0009391435011269722	5	5324
1985	0.0006999125109361329	4	5715
1986	0.0011569610489780178	6	5186
1987	0.0007313951362223441	4	5469
1988	0.0005447612130016343	3	5507
1989	0.0008716875871687587	5	5736
1990	0	0	5700
1991	0.0005092514004413513	3	5891
1992	0.0006691201070592171	4	5978
1993	0.0003356267830172848	2	5959
1994	0.0006634599436059048	4	6029
1995	0.000311284046692607	2	6425
1996	0.00015135462388375965	1	6607
1997	0.00018521948508983145	1	5399
1998	0.00027570995312930797	1	3627
1999	0.0002829654782116582	2	7068
2000	0.0008511673151750973	7	8224
2001	0.00028805991646262423	2	6943
2002	0.0007670182166826462	4	5215
2003	0.0011114198388441233	8	7198
2004	0.000299311583358276	2	6682
2005	0.0003246753246753247	2	6160
2006	0.0005763688760806917	2	3470
2007	0.0009528346831824678	2	2099
2008	0	0	11132
2009	0.00017878426698450536	3	16780
2010	0.0001951092611862643	3	15376
2011	0.0002723311546840959	4	14688
2012	0.0001198394151836539	2	16689
2013	0	0	19197
