year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0.0007104795737122557	2	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0.0005212405525149857	2	3837
1957	0.00026048450117218026	1	3839
1958	0	0	3739
1959	0.0002621231979030144	1	3815
1960	0.0005298013245033113	2	3775
1961	0.00022660321776569228	1	4413
1962	0	0	4167
1963	0	0	4583
1964	0.0006006006006006006	3	4995
1965	0.0007455731593662628	4	5365
1966	0.00018148820326678765	1	5510
1967	0.000354735721887194	2	5638
1968	0	0	5982
1969	0	0	5794
1970	0.00016815200941651252	1	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0.00018521948508983145	1	5399
1978	0	0	5529
1979	0.0009471490812653912	5	5279
1980	0.0007380073800738007	4	5420
1981	0	0	5329
1982	0.0009400263207369807	5	5319
1983	0.0003784295175023652	2	5285
1984	0.0003756574004507889	2	5324
1985	0.00034995625546806647	2	5715
1986	0	0	5186
1987	0.00018284878405558602	1	5469
1988	0.0009079353550027238	5	5507
1989	0.0005230125523012552	3	5736
1990	0	0	5700
1991	0.0006790018672551349	4	5891
1992	0.00033456005352960856	2	5978
1993	0.0003356267830172848	2	5959
1994	0.0004975949577044286	3	6029
1995	0.0010894941634241246	7	6425
1996	0.0009081277433025579	6	6607
1997	0.0024078533061678087	13	5399
1998	0.00027570995312930797	1	3627
1999	0.00042444821731748726	3	7068
2000	0.0013375486381322957	11	8224
2001	0.001440299582313121	10	6943
2002	0.0011505273250239693	6	5215
2003	0.0006946373992775772	5	7198
2004	0.0010475905417539658	7	6682
2005	0.0006493506493506494	4	6160
2006	0.00028818443804034583	1	3470
2007	0.0023820867079561697	5	2099
2008	0.0004491555874955084	5	11132
2009	0.0007747318235995233	13	16780
2010	0.0007154006243496358	11	15376
2011	0.0008169934640522876	12	14688
2012	0.0010186350290610582	17	16689
2013	0.000781372089388967	15	19197
