year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0.00030703101013202335	1	3257
1955	0.002596053997923157	10	3852
1956	0.008600469116497263	33	3837
1957	0.004428236519927064	17	3839
1958	0.005081572612998127	19	3739
1959	0.003145478374836173	12	3815
1960	0.003973509933774834	15	3775
1961	0.004532064355313846	20	4413
1962	0.003599712023038157	15	4167
1963	0.007418721361553567	34	4583
1964	0.007407407407407408	37	4995
1965	0.00391425908667288	21	5365
1966	0.006352087114337568	35	5510
1967	0.004966300106420717	28	5638
1968	0.003009027081243731	18	5982
1969	0.0022437003797031413	13	5794
1970	0.002522280141247688	15	5947
1971	0.001597444089456869	8	5008
1972	0.0008089305937550558	5	6181
1973	0.00033783783783783786	2	5920
1974	0.0005719733079122975	3	5245
1975	0.0006042296072507553	3	4965
1976	0.001167088115152694	6	5141
1977	0.0003704389701796629	2	5399
1978	0.0010851871947911015	6	5529
1979	0.0009471490812653912	5	5279
1980	0.0009225092250922509	5	5420
1981	0.0007506098705197974	4	5329
1982	0.001692047377326565	9	5319
1983	0.0017029328287606433	9	5285
1984	0.0007513148009015778	4	5324
1985	0.00034995625546806647	2	5715
1986	0.0011569610489780178	6	5186
1987	0.0009142439202779302	5	5469
1988	0.0005447612130016343	3	5507
1989	0.000697350069735007	4	5736
1990	0.0003508771929824561	2	5700
1991	0.00016975046681378373	1	5891
1992	0.0008364001338240214	5	5978
1993	0	0	5959
1994	0.0003317299718029524	2	6029
1995	0.0004669260700389105	3	6425
1996	0.0003027092477675193	2	6607
1997	0	0	5399
1998	0	0	3627
1999	0	0	7068
2000	0	0	8224
2001	0.0007201497911565605	5	6943
2002	0.00019175455417066154	1	5215
2003	0	0	7198
2004	0.000149655791679138	1	6682
2005	0.00016233766233766234	1	6160
2006	0.00028818443804034583	1	3470
2007	0	0	2099
2008	0.00017966223499820338	2	11132
2009	0	0	16780
2010	0.0001951092611862643	3	15376
2011	0	0	14688
2012	0.00005991970759182695	1	16689
2013	0.000052091472625931135	1	19197
