year	portion	word_count	total_count
1945	0.0036231884057971015	1	276
1946	0.0006605019815059445	1	1514
1947	0.0006042296072507553	1	1655
1948	0.000992063492063492	2	2016
1949	0.0019984012789768186	5	2502
1950	0.002163721601153985	6	2773
1951	0.003197158081705151	9	2815
1952	0.002745367192862045	8	2914
1953	0.003956478733926805	12	3033
1954	0.0012281240405280934	4	3257
1955	0.000778816199376947	3	3852
1956	0.001563721657544957	6	3837
1957	0.003907267517582704	15	3839
1958	0.002941963091735758	11	3739
1959	0.004980340760157274	19	3815
1960	0.002119205298013245	8	3775
1961	0.0056650804441423066	25	4413
1962	0.007439404847612191	31	4167
1963	0.006982325987344534	32	4583
1964	0.006006006006006006	30	4995
1965	0.007455731593662628	40	5365
1966	0.008166969147005444	45	5510
1967	0.008158921603405462	46	5638
1968	0.010698762955533266	64	5982
1969	0.006558508802209182	38	5794
1970	0.005549016310744914	33	5947
1971	0.003993610223642172	20	5008
1972	0.007603947581297525	47	6181
1973	0.004560810810810811	27	5920
1974	0.005147759771210677	27	5245
1975	0.006042296072507553	30	4965
1976	0.006613499319198599	34	5141
1977	0.008149657343952585	44	5399
1978	0.013564839934888768	75	5529
1979	0.009471490812653912	50	5279
1980	0.0075645756457564575	41	5420
1981	0.007318446237568024	39	5329
1982	0.007520210565895845	40	5319
1983	0.01173131504257332	62	5285
1984	0.011269722013523666	60	5324
1985	0.01242344706911636	71	5715
1986	0.012148091014269186	63	5186
1987	0.01389650758822454	76	5469
1988	0.011258398402033775	62	5507
1989	0.00906555090655509	52	5736
1990	0.012105263157894737	69	5700
1991	0.009845527075199458	58	5891
1992	0.01020408163265306	61	5978
1993	0.012921631146165465	77	5959
1994	0.011444684027201857	69	6029
1995	0.00980544747081712	63	6425
1996	0.009838050552444378	65	6607
1997	0.007223559918503426	39	5399
1998	0.007995588640749932	29	3627
1999	0.012733446519524618	90	7068
2000	0.014834630350194552	122	8224
2001	0.010082097076191848	70	6943
2002	0.008820709491850431	46	5215
2003	0.007641011392053348	55	7198
2004	0.01032624962586052	69	6682
2005	0.009577922077922078	59	6160
2006	0.008069164265129682	28	3470
2007	0.011910433539780848	25	2099
2008	0.00583902263744161	65	11132
2009	0.007568533969010727	127	16780
2010	0.007934443288241414	122	15376
2011	0.007489106753812636	110	14688
2012	0.008448678770447601	141	16689
2013	0.006928165859248841	133	19197
