year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0.00022660321776569228	1	4413
1962	0.00047996160307175426	2	4167
1963	0.0002181976871045167	1	4583
1964	0	0	4995
1965	0.0001863932898415657	1	5365
1966	0	0	5510
1967	0	0	5638
1968	0.00016716817118020728	1	5982
1969	0.00017259233690024162	1	5794
1970	0.00033630401883302503	2	5947
1971	0.00019968051118210862	1	5008
1972	0.00016178611875101117	1	6181
1973	0	0	5920
1974	0.00038131553860819826	2	5245
1975	0.0006042296072507553	3	4965
1976	0.000583544057576347	3	5141
1977	0.00018521948508983145	1	5399
1978	0	0	5529
1979	0	0	5279
1980	0	0	5420
1981	0	0	5329
1982	0	0	5319
1983	0	0	5285
1984	0	0	5324
1985	0	0	5715
1986	0.0001928268414963363	1	5186
1987	0	0	5469
1988	0	0	5507
1989	0	0	5736
1990	0.00017543859649122806	1	5700
1991	0.00016975046681378373	1	5891
1992	0.00016728002676480428	1	5978
1993	0.0006712535660345696	4	5959
1994	0.0001658649859014762	1	6029
1995	0	0	6425
1996	0.0003027092477675193	2	6607
1997	0.00018521948508983145	1	5399
1998	0	0	3627
1999	0.0001414827391058291	1	7068
2000	0.0007295719844357977	6	8224
2001	0.00028805991646262423	2	6943
2002	0	0	5215
2003	0.0001389274798555154	1	7198
2004	0.0004489673750374139	3	6682
2005	0.0003246753246753247	2	6160
2006	0.00028818443804034583	1	3470
2007	0	0	2099
2008	0.00008983111749910169	1	11132
2009	0.00011918951132300358	2	16780
2010	0.00006503642039542144	1	15376
2011	0.0002723311546840959	4	14688
2012	0.00041943795314278864	7	16689
2013	0.00020836589050372454	4	19197
