year	portion	word_count	total_count
1945	0.018115942028985508	5	276
1946	0.02047556142668428	31	1514
1947	0.02416918429003021	40	1655
1948	0.025793650793650792	52	2016
1949	0.02997601918465228	75	2502
1950	0.03353768481788676	93	2773
1951	0.03197158081705151	90	2815
1952	0.029512697323266987	86	2914
1953	0.035938015166501816	109	3033
1954	0.037457783236106844	122	3257
1955	0.03660436137071651	141	3852
1956	0.03752931978107897	144	3837
1957	0.04297994269340974	165	3839
1958	0.03182669162877775	119	3739
1959	0.040104849279161206	153	3815
1960	0.035496688741721856	134	3775
1961	0.039202356673464764	173	4413
1962	0.04439644828413727	185	4167
1963	0.04713070041457561	216	4583
1964	0.05225225225225225	261	4995
1965	0.05424044734389562	291	5365
1966	0.05771324863883848	318	5510
1967	0.04629301170627882	261	5638
1968	0.04714142427281846	282	5982
1969	0.04539178460476355	263	5794
1970	0.04405582646712628	262	5947
1971	0.040934504792332266	205	5008
1972	0.041255460281507846	255	6181
1973	0.04341216216216216	257	5920
1974	0.05300285986653956	278	5245
1975	0.04974823766364552	247	4965
1976	0.05738183232834079	295	5141
1977	0.0553806260418596	299	5399
1978	0.049918610960390665	276	5529
1979	0.061375260465997346	324	5279
1980	0.05516605166051661	299	5420
1981	0.05310564833927566	283	5329
1982	0.059973679263019365	319	5319
1983	0.05827814569536424	308	5285
1984	0.056348610067618335	300	5324
1985	0.05546806649168854	317	5715
1986	0.05572695719244119	289	5186
1987	0.05302614737611995	290	5469
1988	0.056836753223170514	313	5507
1989	0.0599721059972106	344	5736
1990	0.051403508771929826	293	5700
1991	0.06111016805296215	360	5891
1992	0.057209769153563066	342	5978
1993	0.06024500755160262	359	5959
1994	0.05606236523469896	338	6029
1995	0.049182879377431904	316	6425
1996	0.04131981232026639	273	6607
1997	0.046860529727727356	253	5399
1998	0.03970223325062035	144	3627
1999	0.04994340690435767	353	7068
2000	0.045233463035019454	372	8224
2001	0.04436122713524413	308	6943
2002	0.04065196548418025	212	5215
2003	0.05098638510697416	367	7198
2004	0.04579467225381622	306	6682
2005	0.052759740259740256	325	6160
2006	0.042363112391930836	147	3470
2007	0.050023820867079564	105	2099
2008	0.027398490837226015	305	11132
2009	0.024255065554231226	407	16780
2010	0.025039021852237255	385	15376
2011	0.02382897603485839	350	14688
2012	0.027443226077056744	458	16689
2013	0.023753711517424596	456	19197
