year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0.00034317089910775565	1	2914
1953	0	0	3033
1954	0.00030703101013202335	1	3257
1955	0.0005192107995846313	2	3852
1956	0	0	3837
1957	0	0	3839
1958	0.0002674511901577962	1	3739
1959	0	0	3815
1960	0.00026490066225165563	1	3775
1961	0.00022660321776569228	1	4413
1962	0.00023998080153587713	1	4167
1963	0.0006545930613135501	3	4583
1964	0.0004004004004004004	2	4995
1965	0.0005591798695246971	3	5365
1966	0.0009074410163339383	5	5510
1967	0.000532103582830791	3	5638
1968	0	0	5982
1969	0.0008629616845012082	5	5794
1970	0.0011770640659155877	7	5947
1971	0.0005990415335463259	3	5008
1972	0.0008089305937550558	5	6181
1973	0.0008445945945945946	5	5920
1974	0.0007626310772163965	4	5245
1975	0.0004028197381671702	2	4965
1976	0.000583544057576347	3	5141
1977	0.0007408779403593258	4	5399
1978	0.0007234581298607343	4	5529
1979	0.00037885963250615644	2	5279
1980	0.0007380073800738007	4	5420
1981	0.0009382623381497466	5	5329
1982	0.0007520210565895845	4	5319
1983	0.0017029328287606433	9	5285
1984	0.0009391435011269722	5	5324
1985	0.0012248468941382328	7	5715
1986	0.001349787890474354	7	5186
1987	0.0010970927043335162	6	5469
1988	0.0005447612130016343	3	5507
1989	0.000697350069735007	4	5736
1990	0.0010526315789473684	6	5700
1991	0.0010185028008827025	6	5891
1992	0.00033456005352960856	2	5978
1993	0.0008390669575432119	5	5959
1994	0.0006634599436059048	4	6029
1995	0.000933852140077821	6	6425
1996	0.0010594823671863176	7	6607
1997	0.0009260974254491572	5	5399
1998	0.00027570995312930797	1	3627
1999	0.0008488964346349745	6	7068
2000	0.0008511673151750973	7	8224
2001	0.0005761198329252485	4	6943
2002	0.0005752636625119846	3	5215
2003	0.0002778549597110308	2	7198
2004	0.00074827895839569	5	6682
2005	0.00016233766233766234	1	6160
2006	0.0011527377521613833	4	3470
2007	0	0	2099
2008	0.0004491555874955084	5	11132
2009	0.0005363528009535161	9	16780
2010	0.0007154006243496358	11	15376
2011	0.0006127450980392157	9	14688
2012	0.0004793576607346156	8	16689
2013	0.0008334635620148982	16	19197
