year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0.0003606202668589975	1	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0.00026062027625749283	1	3837
1957	0.0005209690023443605	2	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0.0006798096532970768	3	4413
1962	0.0011999040076793857	5	4167
1963	0.0010909884355225835	5	4583
1964	0.0012012012012012011	6	4995
1965	0.0001863932898415657	1	5365
1966	0.0009074410163339383	5	5510
1967	0.000709471443774388	4	5638
1968	0.001170177198261451	7	5982
1969	0.001380738695201933	8	5794
1970	0.0005044560282495376	3	5947
1971	0.0011980830670926517	6	5008
1972	0.0017796473062611229	11	6181
1973	0.0018581081081081082	11	5920
1974	0.00038131553860819826	2	5245
1975	0.0010070493454179255	5	4965
1976	0.0015561174868702586	8	5141
1977	0.0012965363956288201	7	5399
1978	0.001266051727256285	7	5529
1979	0.0009471490812653912	5	5279
1980	0.00036900369003690036	2	5420
1981	0.0009382623381497466	5	5329
1982	0.00037601052829479227	2	5319
1983	0.0015137180700094607	8	5285
1984	0.0011269722013523666	6	5324
1985	0.00034995625546806647	2	5715
1986	0.0007713073659853452	4	5186
1987	0.0007313951362223441	4	5469
1988	0.0003631741420010895	2	5507
1989	0.0005230125523012552	3	5736
1990	0.0003508771929824561	2	5700
1991	0.0010185028008827025	6	5891
1992	0.0020073603211776514	12	5978
1993	0.0008390669575432119	5	5959
1994	0.0013269198872118096	8	6029
1995	0.001867704280155642	12	6425
1996	0.0016649008627213561	11	6607
1997	0.0016669753658084831	9	5399
1998	0.0013785497656465398	5	3627
1999	0.00155631013016412	11	7068
2000	0.0020671206225680934	17	8224
2001	0.0018723894570070575	13	6943
2002	0.0015340364333652923	8	5215
2003	0.0016671297582661851	12	7198
2004	0.0010475905417539658	7	6682
2005	0.0012987012987012987	8	6160
2006	0.0023054755043227667	8	3470
2007	0.0033349213911386373	7	2099
2008	0.0017966223499820337	20	11132
2009	0.00166865315852205	28	16780
2010	0.0016259105098855359	25	15376
2011	0.0029956427015250544	44	14688
2012	0.0028162262568158665	47	16689
2013	0.0023441162681669013	45	19197
