year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0.0003727865796831314	2	5365
1966	0.00018148820326678765	1	5510
1967	0.000354735721887194	2	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0.00016178611875101117	1	6181
1973	0.00016891891891891893	1	5920
1974	0	0	5245
1975	0.0004028197381671702	2	4965
1976	0	0	5141
1977	0.0003704389701796629	2	5399
1978	0.00018086453246518358	1	5529
1979	0.00018942981625307822	1	5279
1980	0.00018450184501845018	1	5420
1981	0.00018765246762994934	1	5329
1982	0.0005640157924421884	3	5319
1983	0.0001892147587511826	1	5285
1984	0.00018782870022539445	1	5324
1985	0.0006999125109361329	4	5715
1986	0.0007713073659853452	4	5186
1987	0.00036569756811117204	2	5469
1988	0.000726348284002179	4	5507
1989	0.00017433751743375174	1	5736
1990	0	0	5700
1991	0	0	5891
1992	0.00016728002676480428	1	5978
1993	0	0	5959
1994	0.0004975949577044286	3	6029
1995	0.000311284046692607	2	6425
1996	0.0003027092477675193	2	6607
1997	0.00018521948508983145	1	5399
1998	0	0	3627
1999	0.0001414827391058291	1	7068
2000	0.00024319066147859923	2	8224
2001	0.00043208987469393634	3	6943
2002	0.0005752636625119846	3	5215
2003	0.0006946373992775772	5	7198
2004	0	0	6682
2005	0	0	6160
2006	0	0	3470
2007	0.0004764173415912339	1	2099
2008	0.00008983111749910169	1	11132
2009	0.00023837902264600716	4	16780
2010	0.0003902185223725286	6	15376
2011	0	0	14688
2012	0.00017975912277548085	3	16689
2013	0.0003125488357555868	6	19197
