year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0.0010030090270812437	6	5982
1969	0.0015533310321021747	9	5794
1970	0	0	5947
1971	0.00039936102236421724	2	5008
1972	0.0004853583562530335	3	6181
1973	0.00016891891891891893	1	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0	0	5399
1978	0	0	5529
1979	0	0	5279
1980	0	0	5420
1981	0.0003753049352598987	2	5329
1982	0.00018800526414739614	1	5319
1983	0	0	5285
1984	0	0	5324
1985	0.00034995625546806647	2	5715
1986	0	0	5186
1987	0.00018284878405558602	1	5469
1988	0.0005447612130016343	3	5507
1989	0.001394700139470014	8	5736
1990	0.0014035087719298245	8	5700
1991	0.00033950093362756747	2	5891
1992	0.0006691201070592171	4	5978
1993	0.0006712535660345696	4	5959
1994	0.0011610549013103333	7	6029
1995	0.000622568093385214	4	6425
1996	0.0006054184955350386	4	6607
1997	0.0005556584552694943	3	5399
1998	0.0005514199062586159	2	3627
1999	0.0008488964346349745	6	7068
2000	0.0006079766536964981	5	8224
2001	0.001152239665850497	8	6943
2002	0.0013422818791946308	7	5215
2003	0.0004167824395665463	3	7198
2004	0.001197246333433104	8	6682
2005	0.0006493506493506494	4	6160
2006	0.00028818443804034583	1	3470
2007	0.0004764173415912339	1	2099
2008	0.0004491555874955084	5	11132
2009	0.0007151370679380214	12	16780
2010	0.0003902185223725286	6	15376
2011	0.0011574074074074073	17	14688
2012	0.0015579123973875008	26	16689
2013	0.0009897379798926916	19	19197
