year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0.00017259233690024162	1	5794
1970	0.00016815200941651252	1	5947
1971	0.00019968051118210862	1	5008
1972	0.00016178611875101117	1	6181
1973	0	0	5920
1974	0	0	5245
1975	0.0004028197381671702	2	4965
1976	0.00019451468585878233	1	5141
1977	0.0007408779403593258	4	5399
1978	0.00018086453246518358	1	5529
1979	0.00018942981625307822	1	5279
1980	0.00036900369003690036	2	5420
1981	0.00018765246762994934	1	5329
1982	0	0	5319
1983	0.0001892147587511826	1	5285
1984	0.0007513148009015778	4	5324
1985	0.00034995625546806647	2	5715
1986	0.0005784805244890089	3	5186
1987	0	0	5469
1988	0.000726348284002179	4	5507
1989	0.0008716875871687587	5	5736
1990	0.0003508771929824561	2	5700
1991	0.00016975046681378373	1	5891
1992	0.0006691201070592171	4	5978
1993	0.0005034401745259272	3	5959
1994	0.0006634599436059048	4	6029
1995	0.000311284046692607	2	6425
1996	0.0007567731194187983	5	6607
1997	0	0	5399
1998	0	0	3627
1999	0.0002829654782116582	2	7068
2000	0.0006079766536964981	5	8224
2001	0.002160449373469682	15	6943
2002	0.0011505273250239693	6	5215
2003	0.0002778549597110308	2	7198
2004	0.00074827895839569	5	6682
2005	0.00016233766233766234	1	6160
2006	0.0011527377521613833	4	3470
2007	0	0	2099
2008	0.0008084800574919152	9	11132
2009	0.0007151370679380214	12	16780
2010	0.0003902185223725286	6	15376
2011	0.0008169934640522876	12	14688
2012	0.00041943795314278864	7	16689
2013	0.0008855550346408293	17	19197
