year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0.00026062027625749283	1	3837
1957	0	0	3839
1958	0.0002674511901577962	1	3739
1959	0	0	3815
1960	0.00026490066225165563	1	3775
1961	0.00022660321776569228	1	4413
1962	0	0	4167
1963	0.0008727907484180668	4	4583
1964	0.0002002002002002002	1	4995
1965	0.0009319664492078285	5	5365
1966	0.0003629764065335753	2	5510
1967	0.000354735721887194	2	5638
1968	0.0005015045135406219	3	5982
1969	0.0005177770107007249	3	5794
1970	0.0016815200941651253	10	5947
1971	0.001597444089456869	8	5008
1972	0.0011325028312570782	7	6181
1973	0.0010135135135135136	6	5920
1974	0.0007626310772163965	4	5245
1975	0.0008056394763343404	4	4965
1976	0.000583544057576347	3	5141
1977	0.0012965363956288201	7	5399
1978	0.0009043226623259179	5	5529
1979	0.0005682894487592347	3	5279
1980	0.001107011070110701	6	5420
1981	0.001125914805779696	6	5329
1982	0.001692047377326565	9	5319
1983	0.0011352885525070956	6	5285
1984	0.0015026296018031556	8	5324
1985	0.0006999125109361329	4	5715
1986	0.0005784805244890089	3	5186
1987	0.0009142439202779302	5	5469
1988	0.0005447612130016343	3	5507
1989	0	0	5736
1990	0.0003508771929824561	2	5700
1991	0.0016975046681378374	10	5891
1992	0.00033456005352960856	2	5978
1993	0.0006712535660345696	4	5959
1994	0.0011610549013103333	7	6029
1995	0.0007782101167315176	5	6425
1996	0.0009081277433025579	6	6607
1997	0.0007408779403593258	4	5399
1998	0.0005514199062586159	2	3627
1999	0.0001414827391058291	1	7068
2000	0.0009727626459143969	8	8224
2001	0.0010082097076191847	7	6943
2002	0.0007670182166826462	4	5215
2003	0.0006946373992775772	5	7198
2004	0.0004489673750374139	3	6682
2005	0.0008116883116883117	5	6160
2006	0.0005763688760806917	2	3470
2007	0.0004764173415912339	1	2099
2008	0.0004491555874955084	5	11132
2009	0.0011918951132300357	20	16780
2010	0.0011056191467221643	17	15376
2011	0.0010212418300653595	15	14688
2012	0.001258313859428366	21	16689
2013	0.0009897379798926916	19	19197
