year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0.000496031746031746	1	2016
1949	0.0007993605115907274	2	2502
1950	0.0003606202668589975	1	2773
1951	0.00035523978685612787	1	2815
1952	0.0013726835964310226	4	2914
1953	0.0009891196834817012	3	3033
1954	0	0	3257
1955	0.0005192107995846313	2	3852
1956	0.0010424811050299713	4	3837
1957	0.0015629070070330815	6	3839
1958	0.0016047071409467772	6	3739
1959	0	0	3815
1960	0.0005298013245033113	2	3775
1961	0.0018128257421255382	8	4413
1962	0.0011999040076793857	5	4167
1963	0.0013091861226271003	6	4583
1964	0.0008008008008008008	4	4995
1965	0.0011183597390493941	6	5365
1966	0.0014519056261343012	8	5510
1967	0.001064207165661582	6	5638
1968	0.0013373453694416582	8	5982
1969	0.002761477390403866	16	5794
1970	0.0036993442071632755	22	5947
1971	0.00439297124600639	22	5008
1972	0.003882866850024268	24	6181
1973	0.005405405405405406	32	5920
1974	0.004957102001906578	26	5245
1975	0.0072507552870090634	36	4965
1976	0.00583544057576347	30	5141
1977	0.0038896091868864603	21	5399
1978	0.00506420690902514	28	5529
1979	0.004735745406326956	25	5279
1980	0.005904059040590406	32	5420
1981	0.004503659223118784	24	5329
1982	0.006204173716864072	33	5319
1983	0.004919583727530747	26	5285
1984	0.006010518407212622	32	5324
1985	0.005424321959755031	31	5715
1986	0.004242190512919399	22	5186
1987	0.00457121960138965	25	5469
1988	0.004721263846014164	26	5507
1989	0.0048814504881450485	28	5736
1990	0.004912280701754386	28	5700
1991	0.004243761670344594	25	5891
1992	0.0045165607226497154	27	5978
1993	0.004866588353750629	29	5959
1994	0.004644219605241333	28	6029
1995	0.004980544747081712	32	6425
1996	0.005146057212047828	34	6607
1997	0.006853120948323764	37	5399
1998	0.004962779156327543	18	3627
1999	0.004810413129598189	34	7068
2000	0.0048638132295719845	40	8224
2001	0.005761198329252484	40	6943
2002	0.004793863854266539	25	5215
2003	0.008335648791330925	60	7198
2004	0.007333133792277761	49	6682
2005	0.006493506493506494	40	6160
2006	0.003170028818443804	11	3470
2007	0.005240590757503573	11	2099
2008	0.0021559468199784403	24	11132
2009	0.002800953516090584	47	16780
2010	0.003707075962539022	57	15376
2011	0.0028594771241830064	42	14688
2012	0.0029360656719995206	49	16689
2013	0.0017190185966557275	33	19197
