year	portion	word_count	total_count
1945	0.0036231884057971015	1	276
1946	0.0006605019815059445	1	1514
1947	0.0006042296072507553	1	1655
1948	0.002976190476190476	6	2016
1949	0.001199040767386091	3	2502
1950	0.0018031013342949874	5	2773
1951	0.0007104795737122557	2	2815
1952	0.001029512697323267	3	2914
1953	0	0	3033
1954	0.0006140620202640467	2	3257
1955	0.000778816199376947	3	3852
1956	0.0010424811050299713	4	3837
1957	0.0018233915082052619	7	3839
1958	0.0018721583311045735	7	3739
1959	0.001310615989515072	5	3815
1960	0.0015894039735099338	6	3775
1961	0.0018128257421255382	8	4413
1962	0.0021598272138228943	9	4167
1963	0.0015273838097316168	7	4583
1964	0.0018018018018018018	9	4995
1965	0.0022367194780987883	12	5365
1966	0.0014519056261343012	8	5510
1967	0.001064207165661582	6	5638
1968	0.0013373453694416582	8	5982
1969	0.001380738695201933	8	5794
1970	0.0018496721035816377	11	5947
1971	0.0013977635782747603	7	5008
1972	0.0016178611875101116	10	6181
1973	0.002364864864864865	14	5920
1974	0.001143946615824595	6	5245
1975	0.0018126888217522659	9	4965
1976	0.0009725734292939117	5	5141
1977	0.0014817558807186516	8	5399
1978	0.0010851871947911015	6	5529
1979	0.0018942981625307824	10	5279
1980	0.0005535055350553505	3	5420
1981	0.0009382623381497466	5	5329
1982	0.0013160368490317729	7	5319
1983	0.0024597918637653737	13	5285
1984	0.0015026296018031556	8	5324
1985	0.0019247594050743656	11	5715
1986	0.0019282684149633628	10	5186
1987	0.0021941854086670325	12	5469
1988	0.002179044852006537	12	5507
1989	0.0015690376569037657	9	5736
1990	0.0019298245614035089	11	5700
1991	0.0010185028008827025	6	5891
1992	0.0016728002676480427	10	5978
1993	0.0018459473065950663	11	5959
1994	0.001658649859014762	10	6029
1995	0.001867704280155642	12	6425
1996	0.0007567731194187983	5	6607
1997	0.0016669753658084831	9	5399
1998	0.0013785497656465398	5	3627
1999	0.0012733446519524619	9	7068
2000	0.0010943579766536965	9	8224
2001	0.00043208987469393634	3	6943
2002	0.0028763183125599234	15	5215
2003	0.0008335648791330926	6	7198
2004	0.00074827895839569	5	6682
2005	0.000974025974025974	6	6160
2006	0.0011527377521613833	4	3470
2007	0.0023820867079561697	5	2099
2008	0.00035932446999640676	4	11132
2009	0.0005959475566150178	10	16780
2010	0.0007154006243496358	11	15376
2011	0.0005446623093681918	8	14688
2012	0.0009587153214692312	16	16689
2013	0.0007292806167630359	14	19197
