year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0.00019065776930409913	1	5245
1975	0	0	4965
1976	0.000583544057576347	3	5141
1977	0.00018521948508983145	1	5399
1978	0.00018086453246518358	1	5529
1979	0	0	5279
1980	0	0	5420
1981	0.00018765246762994934	1	5329
1982	0	0	5319
1983	0	0	5285
1984	0.00018782870022539445	1	5324
1985	0.00017497812773403323	1	5715
1986	0.0005784805244890089	3	5186
1987	0.0005485463521667581	3	5469
1988	0.00018158707100054475	1	5507
1989	0	0	5736
1990	0.0007017543859649122	4	5700
1991	0.00016975046681378373	1	5891
1992	0.0006691201070592171	4	5978
1993	0.0010068803490518544	6	5959
1994	0.0004975949577044286	3	6029
1995	0.000311284046692607	2	6425
1996	0.0006054184955350386	4	6607
1997	0.0003704389701796629	2	5399
1998	0.0011028398125172319	4	3627
1999	0.0005659309564233164	4	7068
2000	0.0006079766536964981	5	8224
2001	0.001440299582313121	10	6943
2002	0.0003835091083413231	2	5215
2003	0.0004167824395665463	3	7198
2004	0.0004489673750374139	3	6682
2005	0.0008116883116883117	5	6160
2006	0.00028818443804034583	1	3470
2007	0.0004764173415912339	1	2099
2008	0.0005389867049946101	6	11132
2009	0.0004171632896305125	7	16780
2010	0.00026014568158168577	4	15376
2011	0.0011574074074074073	17	14688
2012	0.0009587153214692312	16	16689
2013	0.00036464030838151797	7	19197
