year	portion	word_count	total_count
1945	0.007246376811594203	2	276
1946	0.001321003963011889	2	1514
1947	0.0006042296072507553	1	1655
1948	0.000992063492063492	2	2016
1949	0.002797761790567546	7	2502
1950	0.0010818608005769925	3	2773
1951	0.0017761989342806395	5	2815
1952	0.001029512697323267	3	2914
1953	0.0016485328058028356	5	3033
1954	0.0012281240405280934	4	3257
1955	0.0018172377985462098	7	3852
1956	0.0007818608287724785	3	3837
1957	0.0018233915082052619	7	3839
1958	0.004279219042524739	16	3739
1959	0.002621231979030144	10	3815
1960	0.0026490066225165563	10	3775
1961	0.0018128257421255382	8	4413
1962	0.004559635229181665	19	4167
1963	0.0030547676194632336	14	4583
1964	0.002002002002002002	10	4995
1965	0.003727865796831314	20	5365
1966	0.002540834845735027	14	5510
1967	0.004256828662646328	24	5638
1968	0.003510531594784353	21	5982
1969	0.0017259233690024164	10	5794
1970	0.0023541281318311754	14	5947
1971	0.002595846645367412	13	5008
1972	0.003882866850024268	24	6181
1973	0.002702702702702703	16	5920
1974	0.002859866539561487	15	5245
1975	0.0026183282980866062	13	4965
1976	0.0015561174868702586	8	5141
1977	0.0024078533061678087	13	5399
1978	0.003074697051908121	17	5529
1979	0.003788596325061565	20	5279
1980	0.0036900369003690036	20	5420
1981	0.004503659223118784	24	5329
1982	0.003196089490505734	17	5319
1983	0.004730368968779565	25	5285
1984	0.0035687453042824945	19	5324
1985	0.0026246719160104987	15	5715
1986	0.005013497878904744	26	5186
1987	0.004022673249222892	22	5469
1988	0.0034501543490103505	19	5507
1989	0.002615062761506276	15	5736
1990	0.003157894736842105	18	5700
1991	0.0027160074690205397	16	5891
1992	0.002843760455001673	17	5978
1993	0.0026850142641382784	16	5959
1994	0.0038148946757339524	23	6029
1995	0.0026459143968871595	17	6425
1996	0.0015135462388375966	10	6607
1997	0.0009260974254491572	5	5399
1998	0.0027570995312930797	10	3627
1999	0.0019807583474816073	14	7068
2000	0.0012159533073929961	10	8224
2001	0.0030246291228575545	21	6943
2002	0.0017257909875359539	9	5215
2003	0.0018060572381217005	13	7198
2004	0.0016462137084705178	11	6682
2005	0.0012987012987012987	8	6160
2006	0.0008645533141210375	3	3470
2007	0.0014292520247737017	3	2099
2008	0.001976284584980237	22	11132
2009	0.002026221692491061	34	16780
2010	0.0033168574401664934	51	15376
2011	0.0029956427015250544	44	14688
2012	0.002396788303673078	40	16689
2013	0.00322967130280773	62	19197
