year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0.00034317089910775565	1	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0.0002674511901577962	1	3739
1959	0	0	3815
1960	0.0005298013245033113	2	3775
1961	0.00022660321776569228	1	4413
1962	0.00047996160307175426	2	4167
1963	0	0	4583
1964	0.0004004004004004004	2	4995
1965	0.0005591798695246971	3	5365
1966	0.000544464609800363	3	5510
1967	0.000354735721887194	2	5638
1968	0.00016716817118020728	1	5982
1969	0.0010355540214014498	6	5794
1970	0.00016815200941651252	1	5947
1971	0.00019968051118210862	1	5008
1972	0.00032357223750202233	2	6181
1973	0.0005067567567567568	3	5920
1974	0.0007626310772163965	4	5245
1975	0.0006042296072507553	3	4965
1976	0	0	5141
1977	0.0005556584552694943	3	5399
1978	0.00036172906493036716	2	5529
1979	0.00037885963250615644	2	5279
1980	0.0005535055350553505	3	5420
1981	0.0003753049352598987	2	5329
1982	0.00018800526414739614	1	5319
1983	0.0003784295175023652	2	5285
1984	0.0003756574004507889	2	5324
1985	0.0008748906386701663	5	5715
1986	0.0003856536829926726	2	5186
1987	0.00036569756811117204	2	5469
1988	0.0005447612130016343	3	5507
1989	0.00017433751743375174	1	5736
1990	0.00017543859649122806	1	5700
1991	0.0006790018672551349	4	5891
1992	0.00033456005352960856	2	5978
1993	0.0005034401745259272	3	5959
1994	0.0001658649859014762	1	6029
1995	0.0004669260700389105	3	6425
1996	0.00015135462388375965	1	6607
1997	0.0003704389701796629	2	5399
1998	0	0	3627
1999	0	0	7068
2000	0.0007295719844357977	6	8224
2001	0	0	6943
2002	0.002109300095877277	11	5215
2003	0.0004167824395665463	3	7198
2004	0	0	6682
2005	0.0006493506493506494	4	6160
2006	0	0	3470
2007	0.0009528346831824678	2	2099
2008	0.00017966223499820338	2	11132
2009	0.00017878426698450536	3	16780
2010	0.0003251821019771072	5	15376
2011	0.0002042483660130719	3	14688
2012	0.0001198394151836539	2	16689
2013	0.00020836589050372454	4	19197
