year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0.0018126888217522659	3	1655
1948	0.000496031746031746	1	2016
1949	0.0003996802557953637	1	2502
1950	0.000721240533717995	2	2773
1951	0.0010657193605683837	3	2815
1952	0.0017158544955387784	5	2914
1953	0.0006594131223211342	2	3033
1954	0	0	3257
1955	0	0	3852
1956	0.0005212405525149857	2	3837
1957	0.0007814535035165407	3	3839
1958	0.0010698047606311847	4	3739
1959	0.0007863695937090433	3	3815
1960	0.0010596026490066225	4	3775
1961	0.00045320643553138455	2	4413
1962	0.00167986561075114	7	4167
1963	0.0015273838097316168	7	4583
1964	0.001001001001001001	5	4995
1965	0.0009319664492078285	5	5365
1966	0.001633393829401089	9	5510
1967	0.0023057821922667612	13	5638
1968	0.0010030090270812437	6	5982
1969	0.002416292716603383	14	5794
1970	0.0021859761224146627	13	5947
1971	0.001597444089456869	8	5008
1972	0.0016178611875101116	10	6181
1973	0.002364864864864865	14	5920
1974	0.001525262154432793	8	5245
1975	0.002416918429003021	12	4965
1976	0.0036957790313168646	19	5141
1977	0.0029635117614373032	16	5399
1978	0.0018086453246518358	10	5529
1979	0.0020837279787838604	11	5279
1980	0.0014760147601476014	8	5420
1981	0.0020641771439294425	11	5329
1982	0.001504042113179169	8	5319
1983	0.0015137180700094607	8	5285
1984	0.0028174305033809165	15	5324
1985	0.005074365704286964	29	5715
1986	0.003470883146934053	18	5186
1987	0.0029255805448893763	16	5469
1988	0.003086980207009261	17	5507
1989	0.00400976290097629	23	5736
1990	0.003157894736842105	18	5700
1991	0.003395009336275675	20	5891
1992	0.0036801605888256944	22	5978
1993	0.0028528276556469205	17	5959
1994	0.0036490296898324765	22	6029
1995	0.004824902723735408	31	6425
1996	0.006356894203117905	42	6607
1997	0.004445267642155954	24	5399
1998	0.0019299696719051558	7	3627
1999	0.005376344086021506	38	7068
2000	0.004255836575875486	35	8224
2001	0.00547313841278986	38	6943
2002	0.004218600191754554	22	5215
2003	0.0030564045568213394	22	7198
2004	0.0037413947919784497	25	6682
2005	0.002435064935064935	15	6160
2006	0.004034582132564841	14	3470
2007	0.0028585040495474035	6	2099
2008	0.003413582464965864	38	11132
2009	0.003694874851013111	62	16780
2010	0.0032518210197710717	50	15376
2011	0.004697712418300653	69	14688
2012	0.003475343040325963	58	16689
2013	0.003906860446944835	75	19197
