year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0.00034518467380048324	2	5794
1970	0	0	5947
1971	0.00019968051118210862	1	5008
1972	0.0004853583562530335	3	6181
1973	0.00016891891891891893	1	5920
1974	0.00019065776930409913	1	5245
1975	0.0002014098690835851	1	4965
1976	0	0	5141
1977	0.00018521948508983145	1	5399
1978	0.00036172906493036716	2	5529
1979	0	0	5279
1980	0	0	5420
1981	0.000562957402889848	3	5329
1982	0	0	5319
1983	0.0007568590350047304	4	5285
1984	0.00018782870022539445	1	5324
1985	0.00034995625546806647	2	5715
1986	0.0003856536829926726	2	5186
1987	0.00036569756811117204	2	5469
1988	0.0010895224260032686	6	5507
1989	0.0003486750348675035	2	5736
1990	0.0017543859649122807	10	5700
1991	0.0008487523340689187	5	5891
1992	0.00117096018735363	7	5978
1993	0.0008390669575432119	5	5959
1994	0.0011610549013103333	7	6029
1995	0.0001556420233463035	1	6425
1996	0.0006054184955350386	4	6607
1997	0.0007408779403593258	4	5399
1998	0.00027570995312930797	1	3627
1999	0.00042444821731748726	3	7068
2000	0.00036478599221789884	3	8224
2001	0.001152239665850497	8	6943
2002	0	0	5215
2003	0.0004167824395665463	3	7198
2004	0.000299311583358276	2	6682
2005	0	0	6160
2006	0.0005763688760806917	2	3470
2007	0	0	2099
2008	0	0	11132
2009	0.00017878426698450536	3	16780
2010	0.0001951092611862643	3	15376
2011	0.00006808278867102397	1	14688
2012	0.0002396788303673078	4	16689
2013	0.0001562744178777934	3	19197
