year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0.00034317089910775565	1	2914
1953	0	0	3033
1954	0.0006140620202640467	2	3257
1955	0.000778816199376947	3	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0.00026490066225165563	1	3775
1961	0	0	4413
1962	0.00023998080153587713	1	4167
1963	0.0002181976871045167	1	4583
1964	0.0002002002002002002	1	4995
1965	0	0	5365
1966	0.0003629764065335753	2	5510
1967	0.000177367860943597	1	5638
1968	0.0005015045135406219	3	5982
1969	0.00034518467380048324	2	5794
1970	0.00016815200941651252	1	5947
1971	0.00039936102236421724	2	5008
1972	0.00032357223750202233	2	6181
1973	0.00016891891891891893	1	5920
1974	0	0	5245
1975	0.0008056394763343404	4	4965
1976	0.000583544057576347	3	5141
1977	0.00018521948508983145	1	5399
1978	0.00018086453246518358	1	5529
1979	0.00037885963250615644	2	5279
1980	0.00036900369003690036	2	5420
1981	0.0003753049352598987	2	5329
1982	0.00018800526414739614	1	5319
1983	0.0001892147587511826	1	5285
1984	0	0	5324
1985	0.00034995625546806647	2	5715
1986	0.0003856536829926726	2	5186
1987	0.0005485463521667581	3	5469
1988	0.00018158707100054475	1	5507
1989	0.0003486750348675035	2	5736
1990	0.00017543859649122806	1	5700
1991	0.00033950093362756747	2	5891
1992	0.0008364001338240214	5	5978
1993	0.0003356267830172848	2	5959
1994	0.0004975949577044286	3	6029
1995	0.000622568093385214	4	6425
1996	0.0003027092477675193	2	6607
1997	0.0005556584552694943	3	5399
1998	0.00027570995312930797	1	3627
1999	0.0005659309564233164	4	7068
2000	0.00024319066147859923	2	8224
2001	0	0	6943
2002	0.00019175455417066154	1	5215
2003	0.0005557099194220616	4	7198
2004	0.000149655791679138	1	6682
2005	0.00016233766233766234	1	6160
2006	0	0	3470
2007	0	0	2099
2008	0.00008983111749910169	1	11132
2009	0.0002979737783075089	5	16780
2010	0.0003251821019771072	5	15376
2011	0	0	14688
2012	0.00005991970759182695	1	16689
2013	0	0	19197
