year	portion	word_count	total_count
1945	0.007246376811594203	2	276
1946	0.0006605019815059445	1	1514
1947	0.002416918429003021	4	1655
1948	0	0	2016
1949	0.001199040767386091	3	2502
1950	0.0010818608005769925	3	2773
1951	0.0014209591474245115	4	2815
1952	0.004804392587508579	14	2914
1953	0.0023079459281239697	7	3033
1954	0.0033773411114522566	11	3257
1955	0.0036344755970924196	14	3852
1956	0.0049517852488923635	19	3837
1957	0.0036467830164105238	14	3839
1958	0.004279219042524739	16	3739
1959	0.005242463958060288	20	3815
1960	0.004503311258278146	17	3775
1961	0.005891683661907999	26	4413
1962	0.005999520038396928	25	4167
1963	0.005891337551821951	27	4583
1964	0.00940940940940941	47	4995
1965	0.007082945013979497	38	5365
1966	0.005989110707803993	33	5510
1967	0.0070947144377438804	40	5638
1968	0.006018054162487462	36	5982
1969	0.01156368657231619	67	5794
1970	0.010593576593240289	63	5947
1971	0.009784345047923323	49	5008
1972	0.011648600550072804	72	6181
1973	0.009797297297297298	58	5920
1974	0.008198284080076263	43	5245
1975	0.014300100704934543	71	4965
1976	0.014005057381832327	72	5141
1977	0.015187997777366178	82	5399
1978	0.015373485259540604	85	5529
1979	0.01401780640272779	74	5279
1980	0.01808118081180812	98	5420
1981	0.018952899230624883	101	5329
1982	0.014852415867644294	79	5319
1983	0.01816461684011353	96	5285
1984	0.016716754320060104	89	5324
1985	0.018022747156605425	103	5715
1986	0.013883532587736213	72	5186
1987	0.015907844212835986	87	5469
1988	0.01670601053205012	92	5507
1989	0.01882845188284519	108	5736
1990	0.01649122807017544	94	5700
1991	0.019181802749957563	113	5891
1992	0.019404483104717297	116	5978
1993	0.017956032891424736	107	5959
1994	0.013269198872118096	80	6029
1995	0.016964980544747082	109	6425
1996	0.016194944755562282	107	6607
1997	0.013150583441378033	71	5399
1998	0.012682657843948167	46	3627
1999	0.011318619128466326	80	7068
2000	0.011551556420233464	95	8224
2001	0.014258965864899898	99	6943
2002	0.014189837008628955	74	5215
2003	0.012086690747429841	87	7198
2004	0.010176593834181383	68	6682
2005	0.014285714285714285	88	6160
2006	0.01181556195965418	41	3470
2007	0.014292520247737018	30	2099
2008	0.010959396334890407	122	11132
2009	0.010846245530393326	182	16780
2010	0.012486992715920915	192	15376
2011	0.01252723311546841	184	14688
2012	0.01276289771705914	213	16689
2013	0.012293587539719748	236	19197
