year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0.000496031746031746	1	2016
1949	0	0	2502
1950	0.000721240533717995	2	2773
1951	0	0	2815
1952	0.00034317089910775565	1	2914
1953	0.0009891196834817012	3	3033
1954	0.0015351550506601166	5	3257
1955	0.000778816199376947	3	3852
1956	0.00026062027625749283	1	3837
1957	0.0005209690023443605	2	3839
1958	0.0005349023803155924	2	3739
1959	0.0005242463958060288	2	3815
1960	0.0005298013245033113	2	3775
1961	0.00045320643553138455	2	4413
1962	0.00167986561075114	7	4167
1963	0.0006545930613135501	3	4583
1964	0.0002002002002002002	1	4995
1965	0.0003727865796831314	2	5365
1966	0.000544464609800363	3	5510
1967	0.000177367860943597	1	5638
1968	0.0006686726847208291	4	5982
1969	0.0005177770107007249	3	5794
1970	0.00016815200941651252	1	5947
1971	0.00019968051118210862	1	5008
1972	0.00016178611875101117	1	6181
1973	0	0	5920
1974	0	0	5245
1975	0.0004028197381671702	2	4965
1976	0.00019451468585878233	1	5141
1977	0.0003704389701796629	2	5399
1978	0.0007234581298607343	4	5529
1979	0	0	5279
1980	0.0007380073800738007	4	5420
1981	0.00018765246762994934	1	5329
1982	0.0007520210565895845	4	5319
1983	0.0001892147587511826	1	5285
1984	0.0005634861006761833	3	5324
1985	0.00017497812773403323	1	5715
1986	0.0003856536829926726	2	5186
1987	0.00036569756811117204	2	5469
1988	0.0005447612130016343	3	5507
1989	0.00017433751743375174	1	5736
1990	0.0007017543859649122	4	5700
1991	0.00033950093362756747	2	5891
1992	0.00016728002676480428	1	5978
1993	0.0013425071320691392	8	5959
1994	0.0006634599436059048	4	6029
1995	0.0010894941634241246	7	6425
1996	0.0004540638716512789	3	6607
1997	0.0007408779403593258	4	5399
1998	0.00027570995312930797	1	3627
1999	0.0009903791737408036	7	7068
2000	0.00024319066147859923	2	8224
2001	0.00043208987469393634	3	6943
2002	0.00019175455417066154	1	5215
2003	0.0008335648791330926	6	7198
2004	0.000299311583358276	2	6682
2005	0.0003246753246753247	2	6160
2006	0.00028818443804034583	1	3470
2007	0.0004764173415912339	1	2099
2008	0.00035932446999640676	4	11132
2009	0.00017878426698450536	3	16780
2010	0.00026014568158168577	4	15376
2011	0.00013616557734204794	2	14688
2012	0.0001198394151836539	2	16689
2013	0.00010418294525186227	2	19197
