year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0.0006863417982155113	2	2914
1953	0	0	3033
1954	0.00030703101013202335	1	3257
1955	0.00025960539979231567	1	3852
1956	0.00026062027625749283	1	3837
1957	0.00026048450117218026	1	3839
1958	0.0002674511901577962	1	3739
1959	0.0002621231979030144	1	3815
1960	0.0005298013245033113	2	3775
1961	0	0	4413
1962	0.00047996160307175426	2	4167
1963	0.0002181976871045167	1	4583
1964	0.0002002002002002002	1	4995
1965	0.0001863932898415657	1	5365
1966	0.0003629764065335753	2	5510
1967	0.000354735721887194	2	5638
1968	0.00016716817118020728	1	5982
1969	0.00017259233690024162	1	5794
1970	0.0005044560282495376	3	5947
1971	0	0	5008
1972	0.00016178611875101117	1	6181
1973	0.00016891891891891893	1	5920
1974	0.0005719733079122975	3	5245
1975	0.0006042296072507553	3	4965
1976	0.00038902937171756465	2	5141
1977	0.0003704389701796629	2	5399
1978	0.0007234581298607343	4	5529
1979	0.0011365788975184693	6	5279
1980	0.0014760147601476014	8	5420
1981	0.0009382623381497466	5	5329
1982	0.0005640157924421884	3	5319
1983	0.000946073793755913	5	5285
1984	0.0003756574004507889	2	5324
1985	0.0006999125109361329	4	5715
1986	0.0005784805244890089	3	5186
1987	0.0005485463521667581	3	5469
1988	0.0009079353550027238	5	5507
1989	0.000697350069735007	4	5736
1990	0.0005263157894736842	3	5700
1991	0.00016975046681378373	1	5891
1992	0.0008364001338240214	5	5978
1993	0.0005034401745259272	3	5959
1994	0.0004975949577044286	3	6029
1995	0.0004669260700389105	3	6425
1996	0.0009081277433025579	6	6607
1997	0.0014817558807186516	8	5399
1998	0.0005514199062586159	2	3627
1999	0.0007074136955291454	5	7068
2000	0.00024319066147859923	2	8224
2001	0.00043208987469393634	3	6943
2002	0.0013422818791946308	7	5215
2003	0.002361767157543762	17	7198
2004	0.001197246333433104	8	6682
2005	0.0008116883116883117	5	6160
2006	0.0005763688760806917	2	3470
2007	0.0004764173415912339	1	2099
2008	0.00017966223499820338	2	11132
2009	0.0004767580452920143	8	16780
2010	0.00045525494276795007	7	15376
2011	0.0006127450980392157	9	14688
2012	0.0004793576607346156	8	16689
2013	0.0006771891441371047	13	19197
