year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0.0003996802557953637	1	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0.0006863417982155113	2	2914
1953	0.0016485328058028356	5	3033
1954	0.002456248081056187	8	3257
1955	0.0028556593977154725	11	3852
1956	0.0020849622100599426	8	3837
1957	0.001041938004688721	4	3839
1958	0.0008023535704733886	3	3739
1959	0.003669724770642202	14	3815
1960	0.003973509933774834	15	3775
1961	0.0031724450487196918	14	4413
1962	0.0014398848092152627	6	4167
1963	0.002181976871045167	10	4583
1964	0.004204204204204204	21	4995
1965	0.0029822926374650513	16	5365
1966	0.0027223230490018148	15	5510
1967	0.001418942887548776	8	5638
1968	0.0013373453694416582	8	5982
1969	0.0017259233690024164	10	5794
1970	0.0026904321506642003	16	5947
1971	0.0029952076677316293	15	5008
1972	0.0024267917812651673	15	6181
1973	0.0016891891891891893	10	5920
1974	0.001525262154432793	8	5245
1975	0.002014098690835851	10	4965
1976	0.0025286909161641702	13	5141
1977	0.0011113169105389886	6	5399
1978	0.0014469162597214686	8	5529
1979	0.00018942981625307822	1	5279
1980	0.001107011070110701	6	5420
1981	0.001125914805779696	6	5329
1982	0.001504042113179169	8	5319
1983	0.0013245033112582781	7	5285
1984	0.001314800901577761	7	5324
1985	0.0019247594050743656	11	5715
1986	0.0009641342074816814	5	5186
1987	0.0009142439202779302	5	5469
1988	0.000726348284002179	4	5507
1989	0.0008716875871687587	5	5736
1990	0.0015789473684210526	9	5700
1991	0.00033950093362756747	2	5891
1992	0.0010036801605888257	6	5978
1993	0.0006712535660345696	4	5959
1994	0.0006634599436059048	4	6029
1995	0	0	6425
1996	0.0007567731194187983	5	6607
1997	0.0003704389701796629	2	5399
1998	0.0005514199062586159	2	3627
1999	0.0007074136955291454	5	7068
2000	0.00036478599221789884	3	8224
2001	0.00028805991646262423	2	6943
2002	0.0005752636625119846	3	5215
2003	0.000972492358988608	7	7198
2004	0.00074827895839569	5	6682
2005	0.00016233766233766234	1	6160
2006	0.0008645533141210375	3	3470
2007	0.0009528346831824678	2	2099
2008	0.0006288178224937119	7	11132
2009	0.0002979737783075089	5	16780
2010	0.0003902185223725286	6	15376
2011	0.0004084967320261438	6	14688
2012	0.0003595182455509617	6	16689
2013	0.0003125488357555868	6	19197
