year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0.00034317089910775565	1	2914
1953	0.0003297065611605671	1	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0.00026062027625749283	1	3837
1957	0	0	3839
1958	0.0002674511901577962	1	3739
1959	0.0002621231979030144	1	3815
1960	0	0	3775
1961	0.0009064128710627691	4	4413
1962	0.0007199424046076314	3	4167
1963	0.0013091861226271003	6	4583
1964	0.0008008008008008008	4	4995
1965	0.0022367194780987883	12	5365
1966	0.0018148820326678765	10	5510
1967	0.0012415750266051792	7	5638
1968	0.0018388498829822802	11	5982
1969	0.003969623748705558	23	5794
1970	0.002522280141247688	15	5947
1971	0.002595846645367412	13	5008
1972	0.0024267917812651673	15	6181
1973	0.0015202702702702704	9	5920
1974	0.0019065776930409914	10	5245
1975	0.0014098690835850957	7	4965
1976	0.002917720287881735	15	5141
1977	0.0024078533061678087	13	5399
1978	0.0023512389220473866	13	5529
1979	0.0028414472437961733	15	5279
1980	0.0033210332103321034	18	5420
1981	0.0035653968849690375	19	5329
1982	0.00338409475465313	18	5319
1983	0.0015137180700094607	8	5285
1984	0.003756574004507889	20	5324
1985	0.0055993000874890635	32	5715
1986	0.004242190512919399	22	5186
1987	0.005851161089778753	32	5469
1988	0.0032685672780098057	18	5507
1989	0.00400976290097629	23	5736
1990	0.004912280701754386	28	5700
1991	0.005941266338482431	35	5891
1992	0.006022080963532954	36	5978
1993	0.007383789226380265	44	5959
1994	0.006468734450157572	39	6029
1995	0.004824902723735408	31	6425
1996	0.005902830331466626	39	6607
1997	0.006482681978144101	35	5399
1998	0.007168458781362007	26	3627
1999	0.008630447085455574	61	7068
2000	0.01264591439688716	104	8224
2001	0.008065677660953478	56	6943
2002	0.0069031639501438155	36	5215
2003	0.00847457627118644	61	7198
2004	0.010924872792577072	73	6682
2005	0.012824675324675325	79	6160
2006	0.020461095100864555	71	3470
2007	0.02191519771319676	46	2099
2008	0.008893280632411068	99	11132
2009	0.00631704410011919	106	16780
2010	0.005267950052029137	81	15376
2011	0.004493464052287581	66	14688
2012	0.004194379531427887	70	16689
2013	0.004479866645830078	86	19197
