year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0.0006042296072507553	1	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0.0003297065611605671	1	3033
1954	0.00092109303039607	3	3257
1955	0.0005192107995846313	2	3852
1956	0.0007818608287724785	3	3837
1957	0.0005209690023443605	2	3839
1958	0	0	3739
1959	0.0002621231979030144	1	3815
1960	0.0005298013245033113	2	3775
1961	0	0	4413
1962	0.00047996160307175426	2	4167
1963	0.0002181976871045167	1	4583
1964	0.0004004004004004004	2	4995
1965	0.0009319664492078285	5	5365
1966	0.0003629764065335753	2	5510
1967	0.000354735721887194	2	5638
1968	0.0005015045135406219	3	5982
1969	0.0006903693476009665	4	5794
1970	0.0013452160753321001	8	5947
1971	0.000998402555910543	5	5008
1972	0.000970716712506067	6	6181
1973	0.0013513513513513514	8	5920
1974	0.0007626310772163965	4	5245
1975	0.0004028197381671702	2	4965
1976	0.0007780587434351293	4	5141
1977	0.00018521948508983145	1	5399
1978	0.0016277807921866521	9	5529
1979	0.0007577192650123129	4	5279
1980	0.0014760147601476014	8	5420
1981	0.001125914805779696	6	5329
1982	0.00018800526414739614	1	5319
1983	0.0003784295175023652	2	5285
1984	0.00018782870022539445	1	5324
1985	0.00017497812773403323	1	5715
1986	0.0003856536829926726	2	5186
1987	0.00018284878405558602	1	5469
1988	0	0	5507
1989	0	0	5736
1990	0.0008771929824561404	5	5700
1991	0.00033950093362756747	2	5891
1992	0.0005018400802944129	3	5978
1993	0.0003356267830172848	2	5959
1994	0.0004975949577044286	3	6029
1995	0.000311284046692607	2	6425
1996	0.0004540638716512789	3	6607
1997	0.0005556584552694943	3	5399
1998	0.00027570995312930797	1	3627
1999	0.0002829654782116582	2	7068
2000	0.0008511673151750973	7	8224
2001	0.00043208987469393634	3	6943
2002	0.00019175455417066154	1	5215
2003	0.0002778549597110308	2	7198
2004	0.000149655791679138	1	6682
2005	0.00016233766233766234	1	6160
2006	0.00028818443804034583	1	3470
2007	0	0	2099
2008	0.00008983111749910169	1	11132
2009	0.0002979737783075089	5	16780
2010	0.00026014568158168577	4	15376
2011	0.0002042483660130719	3	14688
2012	0.0003595182455509617	6	16689
2013	0.00010418294525186227	2	19197
