year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0.00034317089910775565	1	2914
1953	0.0003297065611605671	1	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0	0	3837
1957	0.00026048450117218026	1	3839
1958	0.0010698047606311847	4	3739
1959	0	0	3815
1960	0.0007947019867549669	3	3775
1961	0.00045320643553138455	2	4413
1962	0.00023998080153587713	1	4167
1963	0.0006545930613135501	3	4583
1964	0.0008008008008008008	4	4995
1965	0.0009319664492078285	5	5365
1966	0.000544464609800363	3	5510
1967	0.0008868393047179851	5	5638
1968	0.0015045135406218655	9	5982
1969	0.0008629616845012082	5	5794
1970	0.0010089120564990752	6	5947
1971	0.0005990415335463259	3	5008
1972	0.0016178611875101116	10	6181
1973	0.0015202702702702704	9	5920
1974	0.0009532888465204957	5	5245
1975	0.0012084592145015106	6	4965
1976	0.001167088115152694	6	5141
1977	0.0018521948508983144	10	5399
1978	0.0014469162597214686	8	5529
1979	0.0015154385300246258	8	5279
1980	0.0009225092250922509	5	5420
1981	0.0007506098705197974	4	5329
1982	0.001692047377326565	9	5319
1983	0.000946073793755913	5	5285
1984	0.0015026296018031556	8	5324
1985	0.002274715660542432	13	5715
1986	0.0028924026224450444	15	5186
1987	0.0032912781130005485	18	5469
1988	0.001452696568004358	8	5507
1989	0.0024407252440725243	14	5736
1990	0.004210526315789474	24	5700
1991	0.0030555084026481073	18	5891
1992	0.0026764804282368685	16	5978
1993	0.0015103205235777815	9	5959
1994	0.0028197047603250956	17	6029
1995	0.004046692607003891	26	6425
1996	0.0033298017254427123	22	6607
1997	0.0031487312465271347	17	5399
1998	0.0027570995312930797	10	3627
1999	0.0019807583474816073	14	7068
2000	0.004134241245136187	34	8224
2001	0.0031686590810888664	22	6943
2002	0.0026845637583892616	14	5215
2003	0.003612114476243401	26	7198
2004	0.0022448368751870696	15	6682
2005	0.001948051948051948	12	6160
2006	0.0020172910662824206	7	3470
2007	0.003811338732729871	8	2099
2008	0.0018864534674811354	21	11132
2009	0.0033373063170441	56	16780
2010	0.002536420395421436	39	15376
2011	0.0025190631808278867	37	14688
2012	0.0022170291808975974	37	16689
2013	0.0015106527061520029	29	19197
