year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0.0003996802557953637	1	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0	0	2914
1953	0.0003297065611605671	1	3033
1954	0.00030703101013202335	1	3257
1955	0.0005192107995846313	2	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0.0005242463958060288	2	3815
1960	0.00026490066225165563	1	3775
1961	0.00022660321776569228	1	4413
1962	0.00023998080153587713	1	4167
1963	0.0002181976871045167	1	4583
1964	0.0004004004004004004	2	4995
1965	0.0003727865796831314	2	5365
1966	0.00018148820326678765	1	5510
1967	0	0	5638
1968	0.0006686726847208291	4	5982
1969	0.0010355540214014498	6	5794
1970	0.00033630401883302503	2	5947
1971	0.0007987220447284345	4	5008
1972	0.0004853583562530335	3	6181
1973	0.0008445945945945946	5	5920
1974	0.00019065776930409913	1	5245
1975	0.0006042296072507553	3	4965
1976	0.0009725734292939117	5	5141
1977	0.0003704389701796629	2	5399
1978	0.0007234581298607343	4	5529
1979	0.0013260087137715476	7	5279
1980	0.00018450184501845018	1	5420
1981	0	0	5329
1982	0.0007520210565895845	4	5319
1983	0.0026490066225165563	14	5285
1984	0.002066115702479339	11	5324
1985	0.0027996500437445318	16	5715
1986	0.0028924026224450444	15	5186
1987	0.0027427317608337905	15	5469
1988	0.002723806065008171	15	5507
1989	0.004532775453277545	26	5736
1990	0.004912280701754386	28	5700
1991	0.00679001867255135	40	5891
1992	0.00936768149882904	56	5978
1993	0.012418190971639537	74	5959
1994	0.018908608392768287	114	6029
1995	0.028793774319066146	185	6425
1996	0.027243832299076738	180	6607
1997	0.03259862937581034	176	5399
1998	0.028122415219189414	102	3627
1999	0.028438030560271648	201	7068
2000	0.0323443579766537	266	8224
2001	0.03226271064381391	224	6943
2002	0.02722914669223394	142	5215
2003	0.03612114476243401	260	7198
2004	0.027087698293923976	181	6682
2005	0.025162337662337664	155	6160
2006	0.02363112391930836	82	3470
2007	0.027155788470700333	57	2099
2008	0.0160797700323392	179	11132
2009	0.014541120381406437	244	16780
2010	0.01398283038501561	215	15376
2011	0.011301742919389977	166	14688
2012	0.01198394151836539	200	16689
2013	0.00823045267489712	158	19197
