year	portion	word_count	total_count
1945	0	0	276
1946	0.001321003963011889	2	1514
1947	0.002416918429003021	4	1655
1948	0.003968253968253968	8	2016
1949	0.002398081534772182	6	2502
1950	0.0018031013342949874	5	2773
1951	0.002486678507992895	7	2815
1952	0.001029512697323267	3	2914
1953	0.0016485328058028356	5	3033
1954	0.0021492170709241634	7	3257
1955	0.0018172377985462098	7	3852
1956	0.001563721657544957	6	3837
1957	0.0013024225058609013	5	3839
1958	0.0008023535704733886	3	3739
1959	0.0007863695937090433	3	3815
1960	0.0015894039735099338	6	3775
1961	0.0006798096532970768	3	4413
1962	0.00047996160307175426	2	4167
1963	0.0024001745581496837	11	4583
1964	0.0022022022022022024	11	4995
1965	0.0014911463187325257	8	5365
1966	0.002177858439201452	12	5510
1967	0.0012415750266051792	7	5638
1968	0.0006686726847208291	4	5982
1969	0.0010355540214014498	6	5794
1970	0.0013452160753321001	8	5947
1971	0.001996805111821086	10	5008
1972	0.0024267917812651673	15	6181
1973	0.002533783783783784	15	5920
1974	0.0019065776930409914	10	5245
1975	0.0016112789526686808	8	4965
1976	0.002334176230305388	12	5141
1977	0.0014817558807186516	8	5399
1978	0.0028938325194429373	16	5529
1979	0.002652017427543095	14	5279
1980	0.0036900369003690036	20	5420
1981	0.0020641771439294425	11	5329
1982	0.0022560631697687537	12	5319
1983	0.001892147587511826	10	5285
1984	0.002066115702479339	11	5324
1985	0.0015748031496062992	9	5715
1986	0.0021210952564596993	11	5186
1987	0.0023770341927226183	13	5469
1988	0.0019974577810059923	11	5507
1989	0.0012203626220362621	7	5736
1990	0.0017543859649122807	10	5700
1991	0.002037005601765405	12	5891
1992	0.0025092004014720644	15	5978
1993	0.002517200872629636	15	5959
1994	0.0013269198872118096	8	6029
1995	0.003424124513618677	22	6425
1996	0.0016649008627213561	11	6607
1997	0.0033339507316169662	18	5399
1998	0.0030328094844223876	11	3627
1999	0.0018392756083757782	13	7068
2000	0.0024319066147859923	20	8224
2001	0.0048970185798646116	34	6943
2002	0.014189837008628955	74	5215
2003	0.014448457904973604	104	7198
2004	0.014366956001197246	96	6682
2005	0.013149350649350649	81	6160
2006	0.012968299711815562	45	3470
2007	0.01572177227251072	33	2099
2008	0.011318720804886813	126	11132
2009	0.01436233611442193	241	16780
2010	0.01632414151925078	251	15376
2011	0.015590958605664488	229	14688
2012	0.01629816046497693	272	16689
2013	0.01333541699223837	256	19197
