year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0.0006042296072507553	1	1655
1948	0.000496031746031746	1	2016
1949	0.0007993605115907274	2	2502
1950	0.000721240533717995	2	2773
1951	0	0	2815
1952	0.0006863417982155113	2	2914
1953	0.0003297065611605671	1	3033
1954	0.0006140620202640467	2	3257
1955	0.0010384215991692627	4	3852
1956	0.0007818608287724785	3	3837
1957	0.00026048450117218026	1	3839
1958	0.0005349023803155924	2	3739
1959	0.0002621231979030144	1	3815
1960	0.0007947019867549669	3	3775
1961	0	0	4413
1962	0.0009599232061435085	4	4167
1963	0.0008727907484180668	4	4583
1964	0.0004004004004004004	2	4995
1965	0.0005591798695246971	3	5365
1966	0.000544464609800363	3	5510
1967	0.0008868393047179851	5	5638
1968	0.0006686726847208291	4	5982
1969	0.0012081463583016915	7	5794
1970	0.0013452160753321001	8	5947
1971	0.0013977635782747603	7	5008
1972	0.0017796473062611229	11	6181
1973	0.00016891891891891893	1	5920
1974	0.0020972354623450904	11	5245
1975	0.002014098690835851	10	4965
1976	0.0031122349737405172	16	5141
1977	0.0005556584552694943	3	5399
1978	0.0010851871947911015	6	5529
1979	0.0022731577950369387	12	5279
1980	0.0023985239852398524	13	5420
1981	0.0015012197410395947	8	5329
1982	0.0009400263207369807	5	5319
1983	0.0013245033112582781	7	5285
1984	0.0011269722013523666	6	5324
1985	0.0024496937882764656	14	5715
1986	0.0007713073659853452	4	5186
1987	0.0018284878405558603	10	5469
1988	0.0018158707100054477	10	5507
1989	0.000697350069735007	4	5736
1990	0.0010526315789473684	6	5700
1991	0.0015277542013240537	9	5891
1992	0.0008364001338240214	5	5978
1993	0.0011746937405604967	7	5959
1994	0.0021562448167191904	13	6029
1995	0.0015564202334630351	10	6425
1996	0.0013621916149538368	9	6607
1997	0.0011113169105389886	6	5399
1998	0.0011028398125172319	4	3627
1999	0.00155631013016412	11	7068
2000	0.0008511673151750973	7	8224
2001	0.001440299582313121	10	6943
2002	0.0009587727708533077	5	5215
2003	0.0005557099194220616	4	7198
2004	0.0013469021251122418	9	6682
2005	0.0008116883116883117	5	6160
2006	0.0025936599423631124	9	3470
2007	0.0009528346831824678	2	2099
2008	0.001437297879985627	16	11132
2009	0.0017878426698450535	30	16780
2010	0.0024063475546305933	37	15376
2011	0.0011574074074074073	17	14688
2012	0.001318233567020193	22	16689
2013	0.001198103870396416	23	19197
