year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0.00030703101013202335	1	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0.00019968051118210862	1	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0.0002014098690835851	1	4965
1976	0	0	5141
1977	0.00018521948508983145	1	5399
1978	0.00018086453246518358	1	5529
1979	0	0	5279
1980	0	0	5420
1981	0.0003753049352598987	2	5329
1982	0	0	5319
1983	0.0003784295175023652	2	5285
1984	0.00018782870022539445	1	5324
1985	0.0006999125109361329	4	5715
1986	0.0003856536829926726	2	5186
1987	0.00036569756811117204	2	5469
1988	0.0003631741420010895	2	5507
1989	0.0008716875871687587	5	5736
1990	0.0014035087719298245	8	5700
1991	0.0008487523340689187	5	5891
1992	0.0013382402141184342	8	5978
1993	0.0005034401745259272	3	5959
1994	0.000829324929507381	5	6029
1995	0.0015564202334630351	10	6425
1996	0.0013621916149538368	9	6607
1997	0.0029635117614373032	16	5399
1998	0.0016542597187758478	6	3627
1999	0.0021222410865874364	15	7068
2000	0.0030398832684824903	25	8224
2001	0.0017283594987757454	12	6943
2002	0.0019175455417066154	10	5215
2003	0.002639622117254793	19	7198
2004	0.0025441484585453458	17	6682
2005	0.002922077922077922	18	6160
2006	0.004322766570605188	15	3470
2007	0.006193425440686041	13	2099
2008	0.002066115702479339	23	11132
2009	0.0018474374255065555	31	16780
2010	0.0026664932362122787	41	15376
2011	0.001974400871459695	29	14688
2012	0.0020372700581221164	34	16689
2013	0.002239933322915039	43	19197
