year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0	0	3837
1957	0	0	3839
1958	0.0002674511901577962	1	3739
1959	0.0002621231979030144	1	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0.0001863932898415657	1	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0.00016178611875101117	1	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0.00018521948508983145	1	5399
1978	0.00018086453246518358	1	5529
1979	0	0	5279
1980	0	0	5420
1981	0.00018765246762994934	1	5329
1982	0.00018800526414739614	1	5319
1983	0.0001892147587511826	1	5285
1984	0	0	5324
1985	0	0	5715
1986	0	0	5186
1987	0.00018284878405558602	1	5469
1988	0	0	5507
1989	0	0	5736
1990	0.0003508771929824561	2	5700
1991	0	0	5891
1992	0.00016728002676480428	1	5978
1993	0	0	5959
1994	0.0001658649859014762	1	6029
1995	0.000311284046692607	2	6425
1996	0.0003027092477675193	2	6607
1997	0.00018521948508983145	1	5399
1998	0.0005514199062586159	2	3627
1999	0.00042444821731748726	3	7068
2000	0.0007295719844357977	6	8224
2001	0.0005761198329252485	4	6943
2002	0.0009587727708533077	5	5215
2003	0.0002778549597110308	2	7198
2004	0.0004489673750374139	3	6682
2005	0.000487012987012987	3	6160
2006	0.00028818443804034583	1	3470
2007	0	0	2099
2008	0.0005389867049946101	6	11132
2009	0.0006555423122765197	11	16780
2010	0.0009105098855359001	14	15376
2011	0.00047657952069716776	7	14688
2012	0.0007789561986937504	13	16689
2013	0.0008334635620148982	16	19197
