year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0.00026062027625749283	1	3837
1957	0	0	3839
1958	0	0	3739
1959	0.0002621231979030144	1	3815
1960	0.00026490066225165563	1	3775
1961	0.00045320643553138455	2	4413
1962	0	0	4167
1963	0	0	4583
1964	0.0004004004004004004	2	4995
1965	0.0003727865796831314	2	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0.0008629616845012082	5	5794
1970	0.00033630401883302503	2	5947
1971	0.0007987220447284345	4	5008
1972	0.00016178611875101117	1	6181
1973	0.00033783783783783786	2	5920
1974	0.0009532888465204957	5	5245
1975	0.0004028197381671702	2	4965
1976	0.000583544057576347	3	5141
1977	0.0003704389701796629	2	5399
1978	0.0005425935973955507	3	5529
1979	0.0005682894487592347	3	5279
1980	0.0012915129151291514	7	5420
1981	0.0007506098705197974	4	5329
1982	0.00018800526414739614	1	5319
1983	0.0005676442762535478	3	5285
1984	0.0007513148009015778	4	5324
1985	0.00034995625546806647	2	5715
1986	0.0011569610489780178	6	5186
1987	0.0010970927043335162	6	5469
1988	0.0018158707100054477	10	5507
1989	0.0012203626220362621	7	5736
1990	0.0017543859649122807	10	5700
1991	0.0005092514004413513	3	5891
1992	0.002843760455001673	17	5978
1993	0.002013760698103709	12	5959
1994	0.0021562448167191904	13	6029
1995	0.0026459143968871595	17	6425
1996	0.0024216739821401544	16	6607
1997	0.0027782922763474717	15	5399
1998	0.0011028398125172319	4	3627
1999	0.0009903791737408036	7	7068
2000	0.0032830739299610895	27	8224
2001	0.003888808872245427	27	6943
2002	0.0030680728667305847	16	5215
2003	0.002639622117254793	19	7198
2004	0.00299311583358276	20	6682
2005	0.001461038961038961	9	6160
2006	0.002881844380403458	10	3470
2007	0.0014292520247737017	3	2099
2008	0.0016169601149838304	18	11132
2009	0.0021454112038140644	36	16780
2010	0.0026664932362122787	41	15376
2011	0.0023148148148148147	34	14688
2012	0.0020372700581221164	34	16689
2013	0.002396207740792832	46	19197
