year	portion	word_count	total_count
1945	0.0036231884057971015	1	276
1946	0.001321003963011889	2	1514
1947	0.0006042296072507553	1	1655
1948	0.001984126984126984	4	2016
1949	0.001199040767386091	3	2502
1950	0.0018031013342949874	5	2773
1951	0.0017761989342806395	5	2815
1952	0.0017158544955387784	5	2914
1953	0.0009891196834817012	3	3033
1954	0.00030703101013202335	1	3257
1955	0.0018172377985462098	7	3852
1956	0.00026062027625749283	1	3837
1957	0.0018233915082052619	7	3839
1958	0.0024070607114201658	9	3739
1959	0.001310615989515072	5	3815
1960	0.002119205298013245	8	3775
1961	0.0015862225243598459	7	4413
1962	0.0028797696184305254	12	4167
1963	0.0039275583678813	18	4583
1964	0.0022022022022022024	11	4995
1965	0.0027958993476234857	15	5365
1966	0.004355716878402904	24	5510
1967	0.0031926214969847464	18	5638
1968	0.0038448679371447677	23	5982
1969	0.0044874007594062825	26	5794
1970	0.006389776357827476	38	5947
1971	0.00579073482428115	29	5008
1972	0.0061478725125384244	38	6181
1973	0.004391891891891892	26	5920
1974	0.00438512869399428	23	5245
1975	0.004431017119838872	22	4965
1976	0.004279323088893211	22	5141
1977	0.005000926097425449	27	5399
1978	0.005245071441490324	29	5529
1979	0.004735745406326956	25	5279
1980	0.0057195571955719554	31	5420
1981	0.009945580784387315	53	5329
1982	0.004324121075390111	23	5319
1983	0.005298013245033113	28	5285
1984	0.010706235912847483	57	5324
1985	0.008048993875765529	46	5715
1986	0.008098727342846125	42	5186
1987	0.009690985554946059	53	5469
1988	0.008534592337025604	47	5507
1989	0.008193863319386332	47	5736
1990	0.010175438596491228	58	5700
1991	0.011203530809709726	66	5891
1992	0.014720642355302778	88	5978
1993	0.014431951669743245	86	5959
1994	0.01177641399900481	71	6029
1995	0.010739299610894941	69	6425
1996	0.0086272135613743	57	6607
1997	0.011854047045749213	64	5399
1998	0.008822718500137855	32	3627
1999	0.007357102433503113	52	7068
2000	0.015442607003891051	127	8224
2001	0.012818666282586778	89	6943
2002	0.012847555129434324	67	5215
2003	0.011947763267574326	86	7198
2004	0.011074528584256211	74	6682
2005	0.00974025974025974	60	6160
2006	0.008069164265129682	28	3470
2007	0.01572177227251072	33	2099
2008	0.005749191519942508	64	11132
2009	0.008462455303933254	142	16780
2010	0.00949531737773153	146	15376
2011	0.012254901960784314	180	14688
2012	0.01102522619689616	184	16689
2013	0.011772672813460436	226	19197
