year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0.0003297065611605671	1	3033
1954	0	0	3257
1955	0.0005192107995846313	2	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0.0007947019867549669	3	3775
1961	0.0006798096532970768	3	4413
1962	0.0007199424046076314	3	4167
1963	0.0026183722452542005	12	4583
1964	0.0008008008008008008	4	4995
1965	0.001863932898415657	10	5365
1966	0.003992740471869328	22	5510
1967	0.004966300106420717	28	5638
1968	0.003009027081243731	18	5982
1969	0.0060407317915084574	35	5794
1970	0.0053808643013284006	32	5947
1971	0.00439297124600639	22	5008
1972	0.0043682252062773015	27	6181
1973	0.0037162162162162164	22	5920
1974	0.006863679694947569	36	5245
1975	0.010876132930513595	54	4965
1976	0.007975102120210076	41	5141
1977	0.0051861455825152804	28	5399
1978	0.009224091155724362	51	5529
1979	0.010039780261413146	53	5279
1980	0.006088560885608856	33	5420
1981	0.006755488834678176	36	5329
1982	0.006580184245158865	35	5319
1983	0.009082308420056764	48	5285
1984	0.00845229151014275	45	5324
1985	0.007174103237095363	41	5715
1986	0.01195526417277285	62	5186
1987	0.00694825379411227	38	5469
1988	0.007808244053023425	43	5507
1989	0.005753138075313808	33	5736
1990	0.007368421052631579	42	5700
1991	0.008487523340689187	50	5891
1992	0.0036801605888256944	22	5978
1993	0.0062090954858197685	37	5959
1994	0.005141814562945762	31	6029
1995	0.002178988326848249	14	6425
1996	0.00438928409262903	29	6607
1997	0.0033339507316169662	18	5399
1998	0.0019299696719051558	7	3627
1999	0.003395585738539898	24	7068
2000	0.0038910505836575876	32	8224
2001	0.00892985741034135	62	6943
2002	0.009971236816874401	52	5215
2003	0.008335648791330925	60	7198
2004	0.006584854833882071	44	6682
2005	0.010876623376623377	67	6160
2006	0.009510086455331412	33	3470
2007	0.006193425440686041	13	2099
2008	0.0044915558749550845	50	11132
2009	0.006555423122765197	110	16780
2010	0.005528095733610822	85	15376
2011	0.007352941176470588	108	14688
2012	0.006651087542692792	111	16689
2013	0.009116007709537948	175	19197
