year	portion	word_count	total_count
1945	0.018115942028985508	5	276
1946	0.0033025099075297227	5	1514
1947	0.005438066465256798	9	1655
1948	0.00248015873015873	5	2016
1949	0.004796163069544364	12	2502
1950	0.007933645870897944	22	2773
1951	0.004618117229129663	13	2815
1952	0.01098146877144818	32	2914
1953	0.010880316518298714	33	3033
1954	0.010746085354620816	35	3257
1955	0.008307372793354102	32	3852
1956	0.007557988011467292	29	3837
1957	0.01067986454805939	41	3839
1958	0.00775608451457609	29	3739
1959	0.011795543905635648	45	3815
1960	0.011920529801324504	45	3775
1961	0.009517335146159076	42	4413
1962	0.010559155267578594	44	4167
1963	0.014401047348898102	66	4583
1964	0.015015015015015015	75	4995
1965	0.013979496738117428	75	5365
1966	0.017967332123411978	99	5510
1967	0.019510464703795673	110	5638
1968	0.02106318956870612	126	5982
1969	0.018639972385226095	108	5794
1970	0.019673785101731966	117	5947
1971	0.017771565495207666	89	5008
1972	0.017311114706358193	107	6181
1973	0.01587837837837838	94	5920
1974	0.015252621544327931	80	5245
1975	0.016314199395770394	81	4965
1976	0.0165337482979965	85	5141
1977	0.012224486015928876	66	5399
1978	0.015916078856936154	88	5529
1979	0.015722674749005492	83	5279
1980	0.01789667896678967	97	5420
1981	0.01989116156877463	106	5329
1982	0.015416431660086483	82	5319
1983	0.018353831598864712	97	5285
1984	0.01521412471825695	81	5324
1985	0.015748031496062992	90	5715
1986	0.016583108368684922	86	5186
1987	0.019016273541780947	104	5469
1988	0.01597966224804794	88	5507
1989	0.02004881450488145	115	5736
1990	0.01912280701754386	109	5700
1991	0.018333050415888643	108	5891
1992	0.01873536299765808	112	5978
1993	0.015606645410303743	93	5959
1994	0.016918228561950573	102	6029
1995	0.018521400778210118	119	6425
1996	0.01831390948993492	121	6607
1997	0.015928875717725506	86	5399
1998	0.017369727047146403	63	3627
1999	0.013723825693265421	97	7068
2000	0.014713035019455253	121	8224
2001	0.020020164194152385	139	6943
2002	0.01860019175455417	97	5215
2003	0.011947763267574326	86	7198
2004	0.011373840167614486	76	6682
2005	0.011688311688311689	72	6160
2006	0.009221902017291067	32	3470
2007	0.009051929490233444	19	2099
2008	0.009971254042400287	111	11132
2009	0.012872467222884387	216	16780
2010	0.014308012486992715	220	15376
2011	0.016339869281045753	240	14688
2012	0.01593864221942597	266	16689
2013	0.012554044902849403	241	19197
