year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0.0003297065611605671	1	3033
1954	0	0	3257
1955	0	0	3852
1956	0.00026062027625749283	1	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0.0002002002002002002	1	4995
1965	0.0001863932898415657	1	5365
1966	0.00018148820326678765	1	5510
1967	0.000354735721887194	2	5638
1968	0	0	5982
1969	0	0	5794
1970	0.0005044560282495376	3	5947
1971	0.0005990415335463259	3	5008
1972	0.00032357223750202233	2	6181
1973	0.00016891891891891893	1	5920
1974	0.00019065776930409913	1	5245
1975	0.0002014098690835851	1	4965
1976	0.00038902937171756465	2	5141
1977	0.0003704389701796629	2	5399
1978	0.00036172906493036716	2	5529
1979	0.0009471490812653912	5	5279
1980	0.00036900369003690036	2	5420
1981	0.0007506098705197974	4	5329
1982	0.0013160368490317729	7	5319
1983	0.0001892147587511826	1	5285
1984	0.0003756574004507889	2	5324
1985	0.0005249343832020997	3	5715
1986	0.0003856536829926726	2	5186
1987	0.0007313951362223441	4	5469
1988	0.0012711094970038134	7	5507
1989	0.001394700139470014	8	5736
1990	0.0014035087719298245	8	5700
1991	0.001188253267696486	7	5891
1992	0.0006691201070592171	4	5978
1993	0.0018459473065950663	11	5959
1994	0.0018245148449162383	11	6029
1995	0.000933852140077821	6	6425
1996	0.0007567731194187983	5	6607
1997	0.0018521948508983144	10	5399
1998	0.0008271298593879239	3	3627
1999	0.0009903791737408036	7	7068
2000	0.0012159533073929961	10	8224
2001	0.0008641797493878727	6	6943
2002	0.0007670182166826462	4	5215
2003	0.0006946373992775772	5	7198
2004	0.000598623166716552	4	6682
2005	0.0008116883116883117	5	6160
2006	0.001440922190201729	5	3470
2007	0.0004764173415912339	1	2099
2008	0.0008084800574919152	9	11132
2009	0.0011918951132300357	20	16780
2010	0.0013007284079084287	20	15376
2011	0.0009531590413943355	14	14688
2012	0.0015579123973875008	26	16689
2013	0.001198103870396416	23	19197
