year	portion	word_count	total_count
1945	0.0036231884057971015	1	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0.00034317089910775565	1	2914
1953	0.0009891196834817012	3	3033
1954	0.0006140620202640467	2	3257
1955	0.00025960539979231567	1	3852
1956	0.00026062027625749283	1	3837
1957	0.00026048450117218026	1	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0.0009064128710627691	4	4413
1962	0.00047996160307175426	2	4167
1963	0.0006545930613135501	3	4583
1964	0.0008008008008008008	4	4995
1965	0.0007455731593662628	4	5365
1966	0.0009074410163339383	5	5510
1967	0.000532103582830791	3	5638
1968	0.001170177198261451	7	5982
1969	0.001380738695201933	8	5794
1970	0.002858584160080713	17	5947
1971	0.001996805111821086	10	5008
1972	0.001941433425012134	12	6181
1973	0.002364864864864865	14	5920
1974	0.001525262154432793	8	5245
1975	0.0026183282980866062	13	4965
1976	0.002917720287881735	15	5141
1977	0.0029635117614373032	16	5399
1978	0.0023512389220473866	13	5529
1979	0.0032203068763023298	17	5279
1980	0.004059040590405904	22	5420
1981	0.0015012197410395947	8	5329
1982	0.003196089490505734	17	5319
1983	0.0024597918637653737	13	5285
1984	0.0035687453042824945	19	5324
1985	0.0027996500437445318	16	5715
1986	0.0017354415734670266	9	5186
1987	0.0023770341927226183	13	5469
1988	0.002360631923007082	13	5507
1989	0.0019177126917712692	11	5736
1990	0.0022807017543859647	13	5700
1991	0.001188253267696486	7	5891
1992	0.0018400802944128472	11	5978
1993	0.0016781339150864238	10	5959
1994	0.0018245148449162383	11	6029
1995	0.0028015564202334632	18	6425
1996	0.002270319358256395	15	6607
1997	0.002222633821077977	12	5399
1998	0.0011028398125172319	4	3627
1999	0.0018392756083757782	13	7068
2000	0.0026750972762645915	22	8224
2001	0.002160449373469682	15	6943
2002	0.0028763183125599234	15	5215
2003	0.0022228396776882466	16	7198
2004	0.002394492666866208	16	6682
2005	0.0022727272727272726	14	6160
2006	0.004034582132564841	14	3470
2007	0.0019056693663649356	4	2099
2008	0.001706791232482932	19	11132
2009	0.0023837902264600714	40	16780
2010	0.002536420395421436	39	15376
2011	0.0023148148148148147	34	14688
2012	0.0028162262568158665	47	16689
2013	0.002239933322915039	43	19197
