year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0.0003996802557953637	1	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0.00026048450117218026	1	3839
1958	0	0	3739
1959	0	0	3815
1960	0.00026490066225165563	1	3775
1961	0.00045320643553138455	2	4413
1962	0.00023998080153587713	1	4167
1963	0	0	4583
1964	0.0002002002002002002	1	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0.00016716817118020728	1	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0.00018521948508983145	1	5399
1978	0	0	5529
1979	0.00037885963250615644	2	5279
1980	0	0	5420
1981	0	0	5329
1982	0	0	5319
1983	0.0003784295175023652	2	5285
1984	0.00018782870022539445	1	5324
1985	0.00034995625546806647	2	5715
1986	0.0011569610489780178	6	5186
1987	0.0007313951362223441	4	5469
1988	0.00018158707100054475	1	5507
1989	0.0003486750348675035	2	5736
1990	0.00017543859649122806	1	5700
1991	0.0006790018672551349	4	5891
1992	0.00033456005352960856	2	5978
1993	0.0001678133915086424	1	5959
1994	0.0004975949577044286	3	6029
1995	0.0010894941634241246	7	6425
1996	0	0	6607
1997	0.0007408779403593258	4	5399
1998	0.0008271298593879239	3	3627
1999	0.0008488964346349745	6	7068
2000	0.0006079766536964981	5	8224
2001	0.0010082097076191847	7	6943
2002	0.0005752636625119846	3	5215
2003	0.0004167824395665463	3	7198
2004	0	0	6682
2005	0.000487012987012987	3	6160
2006	0.001440922190201729	5	3470
2007	0.0009528346831824678	2	2099
2008	0.00035932446999640676	4	11132
2009	0.0010727056019070322	18	16780
2010	0.0014308012486992717	22	15376
2011	0.0013616557734204794	20	14688
2012	0.0016178321049793278	27	16689
2013	0.0015106527061520029	29	19197
