year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0.00026062027625749283	1	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0.00022660321776569228	1	4413
1962	0.00047996160307175426	2	4167
1963	0.0002181976871045167	1	4583
1964	0.0002002002002002002	1	4995
1965	0.0011183597390493941	6	5365
1966	0.0009074410163339383	5	5510
1967	0.000709471443774388	4	5638
1968	0.0010030090270812437	6	5982
1969	0.0034518467380048328	20	5794
1970	0.0018496721035816377	11	5947
1971	0.0013977635782747603	7	5008
1972	0.0017796473062611229	11	6181
1973	0.0015202702702702704	9	5920
1974	0.001143946615824595	6	5245
1975	0.0002014098690835851	1	4965
1976	0.001167088115152694	6	5141
1977	0.002222633821077977	12	5399
1978	0.0014469162597214686	8	5529
1979	0.0018942981625307824	10	5279
1980	0.0033210332103321034	18	5420
1981	0.0020641771439294425	11	5329
1982	0.001692047377326565	9	5319
1983	0.0011352885525070956	6	5285
1984	0.002066115702479339	11	5324
1985	0.003499562554680665	20	5715
1986	0.003278056305437717	17	5186
1987	0.0018284878405558603	10	5469
1988	0.003994915562011985	22	5507
1989	0.0022663877266387725	13	5736
1990	0.002807017543859649	16	5700
1991	0.002037005601765405	12	5891
1992	0.00234192037470726	14	5978
1993	0.0018459473065950663	11	5959
1994	0.0023221098026206667	14	6029
1995	0.0023346303501945525	15	6425
1996	0.002270319358256395	15	6607
1997	0.0038896091868864603	21	5399
1998	0.0030328094844223876	11	3627
1999	0.0024052065647990947	17	7068
2000	0.002796692607003891	23	8224
2001	0.0048970185798646116	34	6943
2002	0.0026845637583892616	14	5215
2003	0.0022228396776882466	16	7198
2004	0.0020951810835079317	14	6682
2005	0.000974025974025974	6	6160
2006	0.0008645533141210375	3	3470
2007	0.0014292520247737017	3	2099
2008	0.0017966223499820337	20	11132
2009	0.0032181168057210966	54	16780
2010	0.004617585848074922	71	15376
2011	0.004221132897603486	62	14688
2012	0.003295583917550482	55	16689
2013	0.004063134864822629	78	19197
