year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0	0	1655
1948	0.000496031746031746	1	2016
1949	0	0	2502
1950	0.0010818608005769925	3	2773
1951	0.0007104795737122557	2	2815
1952	0.00034317089910775565	1	2914
1953	0.0006594131223211342	2	3033
1954	0.00184218606079214	6	3257
1955	0.001557632398753894	6	3852
1956	0.0005212405525149857	2	3837
1957	0.0007814535035165407	3	3839
1958	0	0	3739
1959	0.0010484927916120576	4	3815
1960	0.0010596026490066225	4	3775
1961	0.0013596193065941536	6	4413
1962	0.00167986561075114	7	4167
1963	0.0013091861226271003	6	4583
1964	0.002002002002002002	10	4995
1965	0.0014911463187325257	8	5365
1966	0.0014519056261343012	8	5510
1967	0.0019510464703795672	11	5638
1968	0.0013373453694416582	8	5982
1969	0.0022437003797031413	13	5794
1970	0.0015133680847486128	9	5947
1971	0.001996805111821086	10	5008
1972	0.0014560750687591004	9	6181
1973	0.0018581081081081082	11	5920
1974	0.002478551000953289	13	5245
1975	0.0018126888217522659	9	4965
1976	0.0025286909161641702	13	5141
1977	0.004074828671976292	22	5399
1978	0.0037981551817688553	21	5529
1979	0.002652017427543095	14	5279
1980	0.0023985239852398524	13	5420
1981	0.0046913116907487335	25	5329
1982	0.003948110547095319	21	5319
1983	0.0035950804162724692	19	5285
1984	0.002441773102930128	13	5324
1985	0.003674540682414698	21	5715
1986	0.0055919784033937525	29	5186
1987	0.004205522033278479	23	5469
1988	0.002723806065008171	15	5507
1989	0.0041841004184100415	24	5736
1990	0.0038596491228070177	22	5700
1991	0.004922763537599729	29	5891
1992	0.006356641017062563	38	5978
1993	0.004027521396207418	24	5959
1994	0.004644219605241333	28	6029
1995	0.005291828793774319	34	6425
1996	0.0040865748448615105	27	6607
1997	0.0062974624930542695	34	5399
1998	0.0030328094844223876	11	3627
1999	0.003395585738539898	24	7068
2000	0.0070525291828793775	58	8224
2001	0.005329108454558548	37	6943
2002	0.005560882070949185	29	5215
2003	0.005418171714365101	39	7198
2004	0.005237952708769829	35	6682
2005	0.00275974025974026	17	6160
2006	0.00345821325648415	12	3470
2007	0.0019056693663649356	4	2099
2008	0.0031440891124685593	35	11132
2009	0.004410011918951132	74	16780
2010	0.004292403746097815	66	15376
2011	0.004765795206971677	70	14688
2012	0.005153094852897118	86	16689
2013	0.006094702297233943	117	19197
