year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0.000496031746031746	1	2016
1949	0.0003996802557953637	1	2502
1950	0.0032455824017309774	9	2773
1951	0.003907637655417406	11	2815
1952	0.005833905284831846	17	2914
1953	0.0023079459281239697	7	3033
1954	0.00092109303039607	3	3257
1955	0.0036344755970924196	14	3852
1956	0.0026062027625749283	10	3837
1957	0.0015629070070330815	6	3839
1958	0.0010698047606311847	4	3739
1959	0.0015727391874180866	6	3815
1960	0.0023841059602649007	9	3775
1961	0.0015862225243598459	7	4413
1962	0.0023998080153587713	10	4167
1963	0.004363953742090334	20	4583
1964	0.0036036036036036037	18	4995
1965	0.004659832246039142	25	5365
1966	0.0027223230490018148	15	5510
1967	0.0026605179141539555	15	5638
1968	0.0043463724506853894	26	5982
1969	0.00431480842250604	25	5794
1970	0.0035311921977467632	21	5947
1971	0.003993610223642172	20	5008
1972	0.003235722375020223	20	6181
1973	0.00472972972972973	28	5920
1974	0.00457578646329838	24	5245
1975	0.004028197381671702	20	4965
1976	0.004473837774751994	23	5141
1977	0.005741804037784775	31	5399
1978	0.006149394103816242	34	5529
1979	0.004735745406326956	25	5279
1980	0.006088560885608856	33	5420
1981	0.00562957402889848	30	5329
1982	0.0045121263395375075	24	5319
1983	0.004919583727530747	26	5285
1984	0.007513148009015778	40	5324
1985	0.008048993875765529	46	5715
1986	0.007905900501349789	41	5186
1987	0.007496800146279028	41	5469
1988	0.0070818957690212455	39	5507
1989	0.010983263598326359	63	5736
1990	0.01	57	5700
1991	0.00814802240706162	48	5891
1992	0.008865841418534626	53	5978
1993	0.009565363315992616	57	5959
1994	0.006800464421960524	41	6029
1995	0.00933852140077821	60	6425
1996	0.00908127743302558	60	6607
1997	0.00907575476940174	49	5399
1998	0.007719878687620623	28	3627
1999	0.007498585172608941	53	7068
2000	0.010335603112840467	85	8224
2001	0.009361947285035288	65	6943
2002	0.010354745925215724	54	5215
2003	0.008335648791330925	60	7198
2004	0.006584854833882071	44	6682
2005	0.005844155844155844	36	6160
2006	0.0069164265129683	24	3470
2007	0.01095759885659838	23	2099
2008	0.004311893639956881	48	11132
2009	0.0038140643623361145	64	16780
2010	0.003967221644120707	61	15376
2011	0.004765795206971677	70	14688
2012	0.004853496314937983	81	16689
2013	0.0038026775016929727	73	19197
