year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0.0013726835964310226	4	2914
1953	0.0003297065611605671	1	3033
1954	0.00030703101013202335	1	3257
1955	0.0005192107995846313	2	3852
1956	0.00026062027625749283	1	3837
1957	0.00026048450117218026	1	3839
1958	0.0002674511901577962	1	3739
1959	0	0	3815
1960	0.0005298013245033113	2	3775
1961	0.0013596193065941536	6	4413
1962	0.0014398848092152627	6	4167
1963	0.0024001745581496837	11	4583
1964	0.0034034034034034033	17	4995
1965	0.0022367194780987883	12	5365
1966	0.002177858439201452	12	5510
1967	0.0023057821922667612	13	5638
1968	0.003009027081243731	18	5982
1969	0.0029340697273041077	17	5794
1970	0.0036993442071632755	22	5947
1971	0.0059904153354632585	30	5008
1972	0.0030739362562692122	19	6181
1973	0.006587837837837838	39	5920
1974	0.0038131553860819827	20	5245
1975	0.0052366565961732125	26	4965
1976	0.005640925889904688	29	5141
1977	0.0062974624930542695	34	5399
1978	0.004159884246699223	23	5529
1979	0.006819473385110817	36	5279
1980	0.0057195571955719554	31	5420
1981	0.003940701820228936	21	5329
1982	0.005452152660274488	29	5319
1983	0.003784295175023652	20	5285
1984	0.0035687453042824945	19	5324
1985	0.003674540682414698	21	5715
1986	0.004820671037408407	25	5186
1987	0.00457121960138965	25	5469
1988	0.00381332849101144	21	5507
1989	0.0024407252440725243	14	5736
1990	0.0059649122807017545	34	5700
1991	0.005092514004413512	30	5891
1992	0.0031783205085312814	19	5978
1993	0.004698774962241987	28	5959
1994	0.0069663294078620005	42	6029
1995	0.004046692607003891	26	6425
1996	0.003481156349326472	23	6607
1997	0.0048157066123356174	26	5399
1998	0.0030328094844223876	11	3627
1999	0.003961516694963215	28	7068
2000	0.005471789883268482	45	8224
2001	0.003312689039320179	23	6943
2002	0.004793863854266539	25	5215
2003	0.0048624617949430396	35	7198
2004	0.0037413947919784497	25	6682
2005	0.0035714285714285713	22	6160
2006	0.005187319884726225	18	3470
2007	0.00857551214864221	18	2099
2008	0.00637800934243622	71	11132
2009	0.008700834326579261	146	16780
2010	0.005918314255983351	91	15376
2011	0.00789760348583878	116	14688
2012	0.006830846665468272	114	16689
2013	0.004167317810074491	80	19197
