year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0.0003606202668589975	1	2773
1951	0.00035523978685612787	1	2815
1952	0	0	2914
1953	0	0	3033
1954	0.00030703101013202335	1	3257
1955	0	0	3852
1956	0.0007818608287724785	3	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0.00026490066225165563	1	3775
1961	0	0	4413
1962	0	0	4167
1963	0.0002181976871045167	1	4583
1964	0.0004004004004004004	2	4995
1965	0.0003727865796831314	2	5365
1966	0	0	5510
1967	0.000354735721887194	2	5638
1968	0.00016716817118020728	1	5982
1969	0.0005177770107007249	3	5794
1970	0	0	5947
1971	0	0	5008
1972	0.0004853583562530335	3	6181
1973	0.0008445945945945946	5	5920
1974	0.00038131553860819826	2	5245
1975	0.0002014098690835851	1	4965
1976	0	0	5141
1977	0.0007408779403593258	4	5399
1978	0.0007234581298607343	4	5529
1979	0.0005682894487592347	3	5279
1980	0.0005535055350553505	3	5420
1981	0.0003753049352598987	2	5329
1982	0.0022560631697687537	12	5319
1983	0.000946073793755913	5	5285
1984	0.0003756574004507889	2	5324
1985	0.00017497812773403323	1	5715
1986	0.0005784805244890089	3	5186
1987	0.00036569756811117204	2	5469
1988	0.0009079353550027238	5	5507
1989	0.0003486750348675035	2	5736
1990	0.0007017543859649122	4	5700
1991	0.0015277542013240537	9	5891
1992	0.0010036801605888257	6	5978
1993	0.0013425071320691392	8	5959
1994	0.0014927848731132857	9	6029
1995	0.001245136186770428	8	6425
1996	0.0007567731194187983	5	6607
1997	0.002037414335988146	11	5399
1998	0.0011028398125172319	4	3627
1999	0.0019807583474816073	14	7068
2000	0.002796692607003891	23	8224
2001	0.002880599164626242	20	6943
2002	0.0024928092042186003	13	5215
2003	0.000972492358988608	7	7198
2004	0.0017958695001496557	12	6682
2005	0.0011363636363636363	7	6160
2006	0.0025936599423631124	9	3470
2007	0.0023820867079561697	5	2099
2008	0.0013474667624865254	15	11132
2009	0.0010727056019070322	18	16780
2010	0.0018860561914672217	29	15376
2011	0.001770152505446623	26	14688
2012	0.0018575109353466356	31	16689
2013	0.0015106527061520029	29	19197
