year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0.000721240533717995	2	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0.0012281240405280934	4	3257
1955	0.00025960539979231567	1	3852
1956	0.0005212405525149857	2	3837
1957	0	0	3839
1958	0	0	3739
1959	0.0005242463958060288	2	3815
1960	0	0	3775
1961	0.00045320643553138455	2	4413
1962	0.00023998080153587713	1	4167
1963	0.0008727907484180668	4	4583
1964	0.0004004004004004004	2	4995
1965	0.0001863932898415657	1	5365
1966	0.000544464609800363	3	5510
1967	0	0	5638
1968	0.00033433634236041456	2	5982
1969	0.00034518467380048324	2	5794
1970	0.00033630401883302503	2	5947
1971	0.000998402555910543	5	5008
1972	0.0008089305937550558	5	6181
1973	0.00033783783783783786	2	5920
1974	0.0009532888465204957	5	5245
1975	0.0014098690835850957	7	4965
1976	0.00038902937171756465	2	5141
1977	0.0005556584552694943	3	5399
1978	0.0010851871947911015	6	5529
1979	0.0007577192650123129	4	5279
1980	0.0005535055350553505	3	5420
1981	0.001125914805779696	6	5329
1982	0.0005640157924421884	3	5319
1983	0.0013245033112582781	7	5285
1984	0.0018782870022539444	10	5324
1985	0.002099737532808399	12	5715
1986	0.0015426147319706903	8	5186
1987	0.0021941854086670325	12	5469
1988	0.002360631923007082	13	5507
1989	0.0017433751743375174	10	5736
1990	0.0017543859649122807	10	5700
1991	0.001867255134951621	11	5891
1992	0.0033456005352960855	20	5978
1993	0.00352408122168149	21	5959
1994	0.0044783546193398575	27	6029
1995	0.002178988326848249	14	6425
1996	0.002573028606023914	17	6607
1997	0.002222633821077977	12	5399
1998	0.0027570995312930797	10	3627
1999	0.002688172043010753	19	7068
2000	0.005471789883268482	45	8224
2001	0.005329108454558548	37	6943
2002	0.004026845637583893	21	5215
2003	0.004723534315087524	34	7198
2004	0.004340017958695002	29	6682
2005	0.007142857142857143	44	6160
2006	0.009510086455331412	33	3470
2007	0.005717008099094807	12	2099
2008	0.00583902263744161	65	11132
2009	0.007926102502979739	133	16780
2010	0.005723204994797087	88	15376
2011	0.006331699346405229	93	14688
2012	0.007609802864162023	127	16689
2013	0.007032348804500703	135	19197
