year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0.0014398848092152627	6	4167
1963	0.00196377918394065	9	4583
1964	0.004604604604604604	23	4995
1965	0.00820130475302889	44	5365
1966	0.015426497277676952	85	5510
1967	0.02075203973040085	117	5638
1968	0.018555667001003008	111	5982
1969	0.019675526406627546	114	5794
1970	0.020346393139398015	121	5947
1971	0.019369009584664535	97	5008
1972	0.018767189775117293	116	6181
1973	0.016047297297297296	95	5920
1974	0.016015252621544327	84	5245
1975	0.021349446122860022	106	4965
1976	0.017117292355572845	88	5141
1977	0.02037414335988146	110	5399
1978	0.024416711882799782	135	5529
1979	0.02121613942034476	112	5279
1980	0.024538745387453875	133	5420
1981	0.021392381309814225	114	5329
1982	0.025004700131603684	133	5319
1983	0.03746452223273415	198	5285
1984	0.03794139744552968	202	5324
1985	0.04216972878390201	241	5715
1986	0.03586579251831855	186	5186
1987	0.03784969829950631	207	5469
1988	0.03831487198111495	211	5507
1989	0.03172942817294282	182	5736
1990	0.029649122807017543	169	5700
1991	0.030724834493294856	181	5891
1992	0.032954165272666446	197	5978
1993	0.037758013089444535	225	5959
1994	0.04594460109470891	277	6029
1995	0.049494163424124514	318	6425
1996	0.04328742243075526	286	6607
1997	0.050194480459344326	271	5399
1998	0.030052384891094568	109	3627
1999	0.03749292586304471	265	7068
2000	0.04401750972762646	362	8224
2001	0.03773584905660377	262	6943
2002	0.03547459252157239	185	5215
2003	0.030702973048068908	221	7198
2004	0.027835977252319666	186	6682
2005	0.02727272727272727	168	6160
2006	0.02910662824207493	101	3470
2007	0.030967127203430204	65	2099
2008	0.021739130434782608	242	11132
2009	0.032121573301549466	539	16780
2010	0.03225806451612903	496	15376
2011	0.035130718954248366	516	14688
2012	0.03121816765534184	521	16689
2013	0.03172370682919206	609	19197
