year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0.00026062027625749283	1	3837
1957	0	0	3839
1958	0.0002674511901577962	1	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0.0002181976871045167	1	4583
1964	0.0002002002002002002	1	4995
1965	0.0003727865796831314	2	5365
1966	0.0009074410163339383	5	5510
1967	0.0031926214969847464	18	5638
1968	0.0028418589100635237	17	5982
1969	0.0025888850535036242	15	5794
1970	0.0008407600470825626	5	5947
1971	0.001996805111821086	10	5008
1972	0.002103219543763145	13	6181
1973	0.0005067567567567568	3	5920
1974	0.001143946615824595	6	5245
1975	0.0014098690835850957	7	4965
1976	0.0015561174868702586	8	5141
1977	0.0027782922763474717	15	5399
1978	0.0019895098571170193	11	5529
1979	0.0013260087137715476	7	5279
1980	0.002214022140221402	12	5420
1981	0.0020641771439294425	11	5329
1982	0.0028200789622109417	15	5319
1983	0.003216650898770104	17	5285
1984	0.004507888805409466	24	5324
1985	0.0026246719160104987	15	5715
1986	0.0038565368299267257	20	5186
1987	0.005302614737611995	29	5469
1988	0.00381332849101144	21	5507
1989	0.005055788005578801	29	5736
1990	0.004035087719298246	23	5700
1991	0.003395009336275675	20	5891
1992	0.005352960856473737	32	5978
1993	0.004363148179224702	26	5959
1994	0.005141814562945762	31	6029
1995	0.0038910505836575876	25	6425
1996	0.002573028606023914	17	6607
1997	0.004445267642155954	24	5399
1998	0.0019299696719051558	7	3627
1999	0.003254102999434069	23	7068
2000	0.008390077821011673	69	8224
2001	0.005185078496327236	36	6943
2002	0.005560882070949185	29	5215
2003	0.0031953320366768546	23	7198
2004	0.0032924274169410356	22	6682
2005	0.0035714285714285713	22	6160
2006	0.004610951008645533	16	3470
2007	0.006669842782277275	14	2099
2008	0.0024254401724757456	27	11132
2009	0.003933253873659118	66	16780
2010	0.0037721123829344435	58	15376
2011	0.004084967320261438	60	14688
2012	0.003715021870693271	62	16689
2013	0.00458404959108194	88	19197
