year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0.0006042296072507553	1	1655
1948	0.000992063492063492	2	2016
1949	0.0007993605115907274	2	2502
1950	0.00144248106743599	4	2773
1951	0.00035523978685612787	1	2815
1952	0	0	2914
1953	0	0	3033
1954	0.00030703101013202335	1	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0.000177367860943597	1	5638
1968	0	0	5982
1969	0.0005177770107007249	3	5794
1970	0.00016815200941651252	1	5947
1971	0.000998402555910543	5	5008
1972	0.000970716712506067	6	6181
1973	0.0005067567567567568	3	5920
1974	0.00038131553860819826	2	5245
1975	0.0008056394763343404	4	4965
1976	0.00019451468585878233	1	5141
1977	0.0007408779403593258	4	5399
1978	0.00018086453246518358	1	5529
1979	0.00037885963250615644	2	5279
1980	0.0005535055350553505	3	5420
1981	0.0007506098705197974	4	5329
1982	0.0009400263207369807	5	5319
1983	0.000946073793755913	5	5285
1984	0	0	5324
1985	0.00034995625546806647	2	5715
1986	0.0001928268414963363	1	5186
1987	0.00036569756811117204	2	5469
1988	0.0009079353550027238	5	5507
1989	0.00017433751743375174	1	5736
1990	0.0005263157894736842	3	5700
1991	0.0006790018672551349	4	5891
1992	0.0005018400802944129	3	5978
1993	0.0001678133915086424	1	5959
1994	0.0009951899154088573	6	6029
1995	0.000622568093385214	4	6425
1996	0.00015135462388375965	1	6607
1997	0.0003704389701796629	2	5399
1998	0.0005514199062586159	2	3627
1999	0.0011318619128466328	8	7068
2000	0.0007295719844357977	6	8224
2001	0.001152239665850497	8	6943
2002	0.0017257909875359539	9	5215
2003	0.0004167824395665463	3	7198
2004	0.000598623166716552	4	6682
2005	0.000974025974025974	6	6160
2006	0.0008645533141210375	3	3470
2007	0	0	2099
2008	0.0007186489399928135	8	11132
2009	0.0013110846245530394	22	16780
2010	0.0012356919875130073	19	15376
2011	0.0010212418300653595	15	14688
2012	0.0017975912277548086	30	16689
2013	0.0017190185966557275	33	19197
