year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0.00019451468585878233	1	5141
1977	0	0	5399
1978	0	0	5529
1979	0.00018942981625307822	1	5279
1980	0.00018450184501845018	1	5420
1981	0.000562957402889848	3	5329
1982	0.0009400263207369807	5	5319
1983	0.0005676442762535478	3	5285
1984	0	0	5324
1985	0.00017497812773403323	1	5715
1986	0	0	5186
1987	0	0	5469
1988	0.0012711094970038134	7	5507
1989	0.000697350069735007	4	5736
1990	0.0003508771929824561	2	5700
1991	0.0016975046681378374	10	5891
1992	0.00117096018735363	7	5978
1993	0.0010068803490518544	6	5959
1994	0.0011610549013103333	7	6029
1995	0.0010894941634241246	7	6425
1996	0.0016649008627213561	11	6607
1997	0.0011113169105389886	6	5399
1998	0.0013785497656465398	5	3627
1999	0.0014148273910582908	10	7068
2000	0.0018239299610894942	15	8224
2001	0.002304479331700994	16	6943
2002	0.0024928092042186003	13	5215
2003	0.001944984717977216	14	7198
2004	0.0017958695001496557	12	6682
2005	0.0012987012987012987	8	6160
2006	0.0008645533141210375	3	3470
2007	0.0014292520247737017	3	2099
2008	0.0004491555874955084	5	11132
2009	0.0011918951132300357	20	16780
2010	0.0008454734651404787	13	15376
2011	0.0008169934640522876	12	14688
2012	0.0006591167835100965	11	16689
2013	0.0008334635620148982	16	19197
