year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0.0006042296072507553	1	1655
1948	0.000496031746031746	1	2016
1949	0.0007993605115907274	2	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0.0009891196834817012	3	3033
1954	0.00030703101013202335	1	3257
1955	0	0	3852
1956	0.0005212405525149857	2	3837
1957	0.00026048450117218026	1	3839
1958	0.0002674511901577962	1	3739
1959	0	0	3815
1960	0.0005298013245033113	2	3775
1961	0.00045320643553138455	2	4413
1962	0.00023998080153587713	1	4167
1963	0.0010909884355225835	5	4583
1964	0.0004004004004004004	2	4995
1965	0.0007455731593662628	4	5365
1966	0.0009074410163339383	5	5510
1967	0.0012415750266051792	7	5638
1968	0.0010030090270812437	6	5982
1969	0.0010355540214014498	6	5794
1970	0.0015133680847486128	9	5947
1971	0.0013977635782747603	7	5008
1972	0.0008089305937550558	5	6181
1973	0.0006756756756756757	4	5920
1974	0.001143946615824595	6	5245
1975	0.0008056394763343404	4	4965
1976	0.001167088115152694	6	5141
1977	0.0014817558807186516	8	5399
1978	0.0019895098571170193	11	5529
1979	0.0020837279787838604	11	5279
1980	0.0012915129151291514	7	5420
1981	0.0018765246762994933	10	5329
1982	0.003008084226358338	16	5319
1983	0.0034058656575212867	18	5285
1984	0.002629601803155522	14	5324
1985	0.0015748031496062992	9	5715
1986	0.0038565368299267257	20	5186
1987	0.0036569756811117207	20	5469
1988	0.005084437988015254	28	5507
1989	0.003312412831241283	19	5736
1990	0.0035087719298245615	20	5700
1991	0.0028857579358343237	17	5891
1992	0.005352960856473737	32	5978
1993	0.005034401745259272	30	5959
1994	0.00481008459114281	29	6029
1995	0.003735408560311284	24	6425
1996	0.0068109580747691845	45	6607
1997	0.0055565845526949435	30	5399
1998	0.006617038875103391	24	3627
1999	0.0066496887379739675	47	7068
2000	0.013010700389105059	107	8224
2001	0.011090306783811033	77	6943
2002	0.009395973154362415	49	5215
2003	0.007363156432342317	53	7198
2004	0.00673451062556121	45	6682
2005	0.007954545454545454	49	6160
2006	0.010086455331412104	35	3470
2007	0.016198189614101955	34	2099
2008	0.0064678404599353215	72	11132
2009	0.006555423122765197	110	16780
2010	0.007609261186264308	117	15376
2011	0.007012527233115468	103	14688
2012	0.009467313799508659	158	16689
2013	0.0067197999687451165	129	19197
