year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0	0	2914
1953	0.0003297065611605671	1	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0.00016178611875101117	1	6181
1973	0.0008445945945945946	5	5920
1974	0.00019065776930409913	1	5245
1975	0.0008056394763343404	4	4965
1976	0	0	5141
1977	0.00018521948508983145	1	5399
1978	0.00018086453246518358	1	5529
1979	0.00018942981625307822	1	5279
1980	0.00018450184501845018	1	5420
1981	0.00018765246762994934	1	5329
1982	0	0	5319
1983	0.0001892147587511826	1	5285
1984	0	0	5324
1985	0.0013998250218722659	8	5715
1986	0.0001928268414963363	1	5186
1987	0.00036569756811117204	2	5469
1988	0.0012711094970038134	7	5507
1989	0.0005230125523012552	3	5736
1990	0.0007017543859649122	4	5700
1991	0.0005092514004413513	3	5891
1992	0.0005018400802944129	3	5978
1993	0.0013425071320691392	8	5959
1994	0.0003317299718029524	2	6029
1995	0.000622568093385214	4	6425
1996	0.0007567731194187983	5	6607
1997	0.0014817558807186516	8	5399
1998	0.00027570995312930797	1	3627
1999	0.00042444821731748726	3	7068
2000	0.0012159533073929961	10	8224
2001	0.001152239665850497	8	6943
2002	0.0005752636625119846	3	5215
2003	0.0001389274798555154	1	7198
2004	0.0004489673750374139	3	6682
2005	0.00016233766233766234	1	6160
2006	0.00028818443804034583	1	3470
2007	0	0	2099
2008	0.00017966223499820338	2	11132
2009	0.0002979737783075089	5	16780
2010	0.0006503642039542144	10	15376
2011	0.0006127450980392157	9	14688
2012	0.0007190364911019234	12	16689
2013	0.00046882325363338024	9	19197
