year	portion	word_count	total_count
1945	0	0	276
1946	0.0006605019815059445	1	1514
1947	0.0012084592145015106	2	1655
1948	0.001984126984126984	4	2016
1949	0.0019984012789768186	5	2502
1950	0.002163721601153985	6	2773
1951	0.005683836589698046	16	2815
1952	0.004804392587508579	14	2914
1953	0.003956478733926805	12	3033
1954	0.0006140620202640467	2	3257
1955	0.000778816199376947	3	3852
1956	0.00026062027625749283	1	3837
1957	0.0007814535035165407	3	3839
1958	0.002674511901577962	10	3739
1959	0.00655307994757536	25	3815
1960	0.0015894039735099338	6	3775
1961	0.0009064128710627691	4	4413
1962	0.00167986561075114	7	4167
1963	0.003491162993672267	16	4583
1964	0.005605605605605605	28	4995
1965	0.0014911463187325257	8	5365
1966	0.0023593466424682396	13	5510
1967	0.0031926214969847464	18	5638
1968	0.0013373453694416582	8	5982
1969	0.0010355540214014498	6	5794
1970	0.0015133680847486128	9	5947
1971	0.00039936102236421724	2	5008
1972	0.002103219543763145	13	6181
1973	0.0015202702702702704	9	5920
1974	0.0005719733079122975	3	5245
1975	0.0010070493454179255	5	4965
1976	0.002917720287881735	15	5141
1977	0.0012965363956288201	7	5399
1978	0.0014469162597214686	8	5529
1979	0.0022731577950369387	12	5279
1980	0.0023985239852398524	13	5420
1981	0.001688872208669544	9	5329
1982	0.001692047377326565	9	5319
1983	0.0013245033112582781	7	5285
1984	0.0009391435011269722	5	5324
1985	0.0012248468941382328	7	5715
1986	0.010991129965291169	57	5186
1987	0.007313951362223441	40	5469
1988	0.0012711094970038134	7	5507
1989	0.0017433751743375174	10	5736
1990	0.0017543859649122807	10	5700
1991	0.001867255134951621	11	5891
1992	0.0008364001338240214	5	5978
1993	0.0015103205235777815	9	5959
1994	0.0009951899154088573	6	6029
1995	0.000933852140077821	6	6425
1996	0.0010594823671863176	7	6607
1997	0.0011113169105389886	6	5399
1998	0.0005514199062586159	2	3627
1999	0.0008488964346349745	6	7068
2000	0.0019455252918287938	16	8224
2001	0.0008641797493878727	6	6943
2002	0.0017257909875359539	9	5215
2003	0.0006946373992775772	5	7198
2004	0.001197246333433104	8	6682
2005	0.0012987012987012987	8	6160
2006	0.0020172910662824206	7	3470
2007	0.0009528346831824678	2	2099
2008	0.0016169601149838304	18	11132
2009	0.00166865315852205	28	16780
2010	0.0007804370447450572	12	15376
2011	0.0014297385620915032	21	14688
2012	0.0014979926897956738	25	16689
2013	0.0005209147262593114	10	19197
