year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0.00023998080153587713	1	4167
1963	0	0	4583
1964	0.0002002002002002002	1	4995
1965	0.0001863932898415657	1	5365
1966	0	0	5510
1967	0	0	5638
1968	0.00016716817118020728	1	5982
1969	0.00017259233690024162	1	5794
1970	0	0	5947
1971	0.00019968051118210862	1	5008
1972	0.00016178611875101117	1	6181
1973	0	0	5920
1974	0	0	5245
1975	0.0004028197381671702	2	4965
1976	0	0	5141
1977	0	0	5399
1978	0.00036172906493036716	2	5529
1979	0.0005682894487592347	3	5279
1980	0.0007380073800738007	4	5420
1981	0	0	5329
1982	0.00018800526414739614	1	5319
1983	0.0001892147587511826	1	5285
1984	0.0005634861006761833	3	5324
1985	0.00017497812773403323	1	5715
1986	0	0	5186
1987	0.0007313951362223441	4	5469
1988	0.0010895224260032686	6	5507
1989	0.0005230125523012552	3	5736
1990	0.0007017543859649122	4	5700
1991	0.00033950093362756747	2	5891
1992	0.0005018400802944129	3	5978
1993	0.0003356267830172848	2	5959
1994	0.000829324929507381	5	6029
1995	0.000622568093385214	4	6425
1996	0	0	6607
1997	0.0005556584552694943	3	5399
1998	0.00027570995312930797	1	3627
1999	0.00042444821731748726	3	7068
2000	0.0013375486381322957	11	8224
2001	0.00043208987469393634	3	6943
2002	0.0003835091083413231	2	5215
2003	0.0006946373992775772	5	7198
2004	0.0010475905417539658	7	6682
2005	0.0008116883116883117	5	6160
2006	0.0005763688760806917	2	3470
2007	0.0009528346831824678	2	2099
2008	0.0006288178224937119	7	11132
2009	0.0003575685339690107	6	16780
2010	0.00045525494276795007	7	15376
2011	0.0002723311546840959	4	14688
2012	0.0002396788303673078	4	16689
2013	0.00020836589050372454	4	19197
