year	portion	word_count	total_count
1945	0.0036231884057971015	1	276
1946	0	0	1514
1947	0.0012084592145015106	2	1655
1948	0.000496031746031746	1	2016
1949	0.0015987210231814548	4	2502
1950	0.000721240533717995	2	2773
1951	0.002486678507992895	7	2815
1952	0.0017158544955387784	5	2914
1953	0.0003297065611605671	1	3033
1954	0.00184218606079214	6	3257
1955	0.0005192107995846313	2	3852
1956	0.0028668230388324213	11	3837
1957	0.0007814535035165407	3	3839
1958	0.001337255950788981	5	3739
1959	0.0005242463958060288	2	3815
1960	0.0013245033112582781	5	3775
1961	0.0029458418309539994	13	4413
1962	0.00167986561075114	7	4167
1963	0.0010909884355225835	5	4583
1964	0.0028028028028028026	14	4995
1965	0.00130475302889096	7	5365
1966	0.002540834845735027	14	5510
1967	0.0015963107484923732	9	5638
1968	0.0006686726847208291	4	5982
1969	0.0017259233690024164	10	5794
1970	0.0013452160753321001	8	5947
1971	0.0017971246006389776	9	5008
1972	0.0016178611875101116	10	6181
1973	0.0013513513513513514	8	5920
1974	0.0005719733079122975	3	5245
1975	0.0008056394763343404	4	4965
1976	0.0019451468585878235	10	5141
1977	0.0018521948508983144	10	5399
1978	0.0018086453246518358	10	5529
1979	0.0034097366925554084	18	5279
1980	0.0007380073800738007	4	5420
1981	0.0009382623381497466	5	5329
1982	0.001504042113179169	8	5319
1983	0.0015137180700094607	8	5285
1984	0.001314800901577761	7	5324
1985	0.0017497812773403325	10	5715
1986	0.0017354415734670266	9	5186
1987	0.0031084293289449626	17	5469
1988	0.002542218994007627	14	5507
1989	0.0019177126917712692	11	5736
1990	0.002631578947368421	15	5700
1991	0.004243761670344594	25	5891
1992	0.0020073603211776514	12	5978
1993	0.0036918946131901326	22	5959
1994	0.003317299718029524	20	6029
1995	0.004046692607003891	26	6425
1996	0.00438928409262903	29	6607
1997	0.003704389701796629	20	5399
1998	0.0022056796250344637	8	3627
1999	0.0025466893039049238	18	7068
2000	0.0029182879377431907	24	8224
2001	0.0031686590810888664	22	6943
2002	0.0030680728667305847	16	5215
2003	0.002639622117254793	19	7198
2004	0.004340017958695002	29	6682
2005	0.003409090909090909	21	6160
2006	0.0037463976945244955	13	3470
2007	0.0028585040495474035	6	2099
2008	0.002066115702479339	23	11132
2009	0.0023837902264600714	40	16780
2010	0.0026014568158168575	40	15376
2011	0.0024509803921568627	36	14688
2012	0.003295583917550482	55	16689
2013	0.0025524821586706257	49	19197
