year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0.0003297065611605671	1	3033
1954	0	0	3257
1955	0.0005192107995846313	2	3852
1956	0	0	3837
1957	0	0	3839
1958	0.0002674511901577962	1	3739
1959	0.0002621231979030144	1	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0.0002002002002002002	1	4995
1965	0.0001863932898415657	1	5365
1966	0	0	5510
1967	0	0	5638
1968	0.00016716817118020728	1	5982
1969	0.0006903693476009665	4	5794
1970	0	0	5947
1971	0.00039936102236421724	2	5008
1972	0.00032357223750202233	2	6181
1973	0.00033783783783783786	2	5920
1974	0.0005719733079122975	3	5245
1975	0.0004028197381671702	2	4965
1976	0.0007780587434351293	4	5141
1977	0.00018521948508983145	1	5399
1978	0.0019895098571170193	11	5529
1979	0.0009471490812653912	5	5279
1980	0.001107011070110701	6	5420
1981	0.0013135672734096453	7	5329
1982	0.0011280315848843769	6	5319
1983	0.001892147587511826	10	5285
1984	0.002629601803155522	14	5324
1985	0.0010498687664041995	6	5715
1986	0.0019282684149633628	10	5186
1987	0.009325287986834888	51	5469
1988	0.005266025059015798	29	5507
1989	0.005404463040446304	31	5736
1990	0.005614035087719298	32	5700
1991	0.0054320149380410795	32	5891
1992	0.0026764804282368685	16	5978
1993	0.002517200872629636	15	5959
1994	0.0044783546193398575	27	6029
1995	0.004046692607003891	26	6425
1996	0.004843347964280309	32	6607
1997	0.005741804037784775	31	5399
1998	0.005789909015715467	21	3627
1999	0.004244482173174873	30	7068
2000	0.00632295719844358	52	8224
2001	0.0048970185798646116	34	6943
2002	0.005369127516778523	28	5215
2003	0.0030564045568213394	22	7198
2004	0.0038910505836575876	26	6682
2005	0.003246753246753247	20	6160
2006	0.001729106628242075	6	3470
2007	0.0033349213911386373	7	2099
2008	0.005120373697448796	57	11132
2009	0.0036352800953516093	61	16780
2010	0.003446930280957336	53	15376
2011	0.004084967320261438	60	14688
2012	0.003295583917550482	55	16689
2013	0.0021357503776631764	41	19197
