year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0.00026062027625749283	1	3837
1957	0.0007814535035165407	3	3839
1958	0.0002674511901577962	1	3739
1959	0.0002621231979030144	1	3815
1960	0.00026490066225165563	1	3775
1961	0.00022660321776569228	1	4413
1962	0.00023998080153587713	1	4167
1963	0.0002181976871045167	1	4583
1964	0.0004004004004004004	2	4995
1965	0.0003727865796831314	2	5365
1966	0.0009074410163339383	5	5510
1967	0.000354735721887194	2	5638
1968	0	0	5982
1969	0.00034518467380048324	2	5794
1970	0.0010089120564990752	6	5947
1971	0.00019968051118210862	1	5008
1972	0.0006471444750040447	4	6181
1973	0.0008445945945945946	5	5920
1974	0.00019065776930409913	1	5245
1975	0.0008056394763343404	4	4965
1976	0.00019451468585878233	1	5141
1977	0.0005556584552694943	3	5399
1978	0.00036172906493036716	2	5529
1979	0.00018942981625307822	1	5279
1980	0.0005535055350553505	3	5420
1981	0.00018765246762994934	1	5329
1982	0.00018800526414739614	1	5319
1983	0.0001892147587511826	1	5285
1984	0.00018782870022539445	1	5324
1985	0.00034995625546806647	2	5715
1986	0	0	5186
1987	0	0	5469
1988	0.00018158707100054475	1	5507
1989	0.00017433751743375174	1	5736
1990	0.00017543859649122806	1	5700
1991	0.00016975046681378373	1	5891
1992	0	0	5978
1993	0	0	5959
1994	0	0	6029
1995	0	0	6425
1996	0	0	6607
1997	0	0	5399
1998	0	0	3627
1999	0	0	7068
2000	0.00012159533073929961	1	8224
2001	0.0005761198329252485	4	6943
2002	0	0	5215
2003	0.0001389274798555154	1	7198
2004	0.000149655791679138	1	6682
2005	0	0	6160
2006	0	0	3470
2007	0	0	2099
2008	0.00017966223499820338	2	11132
2009	0.0007747318235995233	13	16780
2010	0.00013007284079084288	2	15376
2011	0.0002723311546840959	4	14688
2012	0.0001198394151836539	2	16689
2013	0.0003125488357555868	6	19197
