year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0.001199040767386091	3	2502
1950	0.0003606202668589975	1	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0.00026062027625749283	1	3837
1957	0.00026048450117218026	1	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0.00022660321776569228	1	4413
1962	0	0	4167
1963	0.0002181976871045167	1	4583
1964	0.0002002002002002002	1	4995
1965	0.0001863932898415657	1	5365
1966	0.000544464609800363	3	5510
1967	0	0	5638
1968	0.00016716817118020728	1	5982
1969	0.00017259233690024162	1	5794
1970	0.0005044560282495376	3	5947
1971	0.0007987220447284345	4	5008
1972	0	0	6181
1973	0.0008445945945945946	5	5920
1974	0.0005719733079122975	3	5245
1975	0.0006042296072507553	3	4965
1976	0.000583544057576347	3	5141
1977	0.0009260974254491572	5	5399
1978	0.0007234581298607343	4	5529
1979	0.0009471490812653912	5	5279
1980	0.0005535055350553505	3	5420
1981	0.0009382623381497466	5	5329
1982	0.0011280315848843769	6	5319
1983	0.000946073793755913	5	5285
1984	0.00018782870022539445	1	5324
1985	0.0006999125109361329	4	5715
1986	0.0001928268414963363	1	5186
1987	0.0010970927043335162	6	5469
1988	0.0009079353550027238	5	5507
1989	0.0005230125523012552	3	5736
1990	0.0003508771929824561	2	5700
1991	0.00016975046681378373	1	5891
1992	0.0006691201070592171	4	5978
1993	0.0001678133915086424	1	5959
1994	0.000829324929507381	5	6029
1995	0.0004669260700389105	3	6425
1996	0.00015135462388375965	1	6607
1997	0	0	5399
1998	0.0005514199062586159	2	3627
1999	0	0	7068
2000	0.00036478599221789884	3	8224
2001	0.0008641797493878727	6	6943
2002	0.0007670182166826462	4	5215
2003	0.0002778549597110308	2	7198
2004	0.000598623166716552	4	6682
2005	0.0003246753246753247	2	6160
2006	0.0008645533141210375	3	3470
2007	0	0	2099
2008	0.00026949335249730504	3	11132
2009	0.0002979737783075089	5	16780
2010	0.0003251821019771072	5	15376
2011	0.0002723311546840959	4	14688
2012	0.00017975912277548085	3	16689
2013	0.00036464030838151797	7	19197
