year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0	0	5399
1978	0	0	5529
1979	0	0	5279
1980	0	0	5420
1981	0	0	5329
1982	0	0	5319
1983	0	0	5285
1984	0	0	5324
1985	0	0	5715
1986	0	0	5186
1987	0	0	5469
1988	0	0	5507
1989	0.00017433751743375174	1	5736
1990	0.0003508771929824561	2	5700
1991	0.0005092514004413513	3	5891
1992	0.0008364001338240214	5	5978
1993	0.0006712535660345696	4	5959
1994	0.0026538397744236193	16	6029
1995	0.003735408560311284	24	6425
1996	0.0036325109732102314	24	6607
1997	0.004445267642155954	24	5399
1998	0.0033085194375516956	12	3627
1999	0.002688172043010753	19	7068
2000	0.004377431906614786	36	8224
2001	0.0020164194152383695	14	6943
2002	0.0009587727708533077	5	5215
2003	0.0006946373992775772	5	7198
2004	0.000149655791679138	1	6682
2005	0.000974025974025974	6	6160
2006	0.0008645533141210375	3	3470
2007	0.0009528346831824678	2	2099
2008	0.00035932446999640676	4	11132
2009	0.0007151370679380214	12	16780
2010	0.0009105098855359001	14	15376
2011	0.0008169934640522876	12	14688
2012	0.0003595182455509617	6	16689
2013	0.001198103870396416	23	19197
