year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0.0006042296072507553	1	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0.00026048450117218026	1	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0.00022660321776569228	1	4413
1962	0	0	4167
1963	0	0	4583
1964	0.0002002002002002002	1	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0.00016716817118020728	1	5982
1969	0	0	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0.0002014098690835851	1	4965
1976	0.00019451468585878233	1	5141
1977	0	0	5399
1978	0	0	5529
1979	0	0	5279
1980	0	0	5420
1981	0.00018765246762994934	1	5329
1982	0	0	5319
1983	0.0001892147587511826	1	5285
1984	0	0	5324
1985	0.00034995625546806647	2	5715
1986	0.0003856536829926726	2	5186
1987	0.00036569756811117204	2	5469
1988	0.000726348284002179	4	5507
1989	0.0003486750348675035	2	5736
1990	0.00017543859649122806	1	5700
1991	0.00016975046681378373	1	5891
1992	0.00016728002676480428	1	5978
1993	0.0008390669575432119	5	5959
1994	0.0003317299718029524	2	6029
1995	0.000311284046692607	2	6425
1996	0.0003027092477675193	2	6607
1997	0.0007408779403593258	4	5399
1998	0.0008271298593879239	3	3627
1999	0.0008488964346349745	6	7068
2000	0.00048638132295719845	4	8224
2001	0.0008641797493878727	6	6943
2002	0.0009587727708533077	5	5215
2003	0.0005557099194220616	4	7198
2004	0.00074827895839569	5	6682
2005	0.000487012987012987	3	6160
2006	0.0008645533141210375	3	3470
2007	0.0004764173415912339	1	2099
2008	0.00008983111749910169	1	11132
2009	0.00005959475566150179	1	16780
2010	0.0001951092611862643	3	15376
2011	0.0002723311546840959	4	14688
2012	0.0004793576607346156	8	16689
2013	0.0003125488357555868	6	19197
