year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0.0003606202668589975	1	2773
1951	0.0007104795737122557	2	2815
1952	0.00034317089910775565	1	2914
1953	0.0003297065611605671	1	3033
1954	0	0	3257
1955	0.00025960539979231567	1	3852
1956	0.00026062027625749283	1	3837
1957	0.00026048450117218026	1	3839
1958	0	0	3739
1959	0.0005242463958060288	2	3815
1960	0	0	3775
1961	0	0	4413
1962	0.00023998080153587713	1	4167
1963	0	0	4583
1964	0.0004004004004004004	2	4995
1965	0	0	5365
1966	0.00018148820326678765	1	5510
1967	0.000177367860943597	1	5638
1968	0	0	5982
1969	0.00017259233690024162	1	5794
1970	0.00033630401883302503	2	5947
1971	0.0005990415335463259	3	5008
1972	0.000970716712506067	6	6181
1973	0.0008445945945945946	5	5920
1974	0.0005719733079122975	3	5245
1975	0.0004028197381671702	2	4965
1976	0.0007780587434351293	4	5141
1977	0.0012965363956288201	7	5399
1978	0.00018086453246518358	1	5529
1979	0.0015154385300246258	8	5279
1980	0.0016605166051660517	9	5420
1981	0.0015012197410395947	8	5329
1982	0.0018800526414739613	10	5319
1983	0.0007568590350047304	4	5285
1984	0.0015026296018031556	8	5324
1985	0.0008748906386701663	5	5715
1986	0.002506748939452372	13	5186
1987	0.0021941854086670325	12	5469
1988	0.004358089704013074	24	5507
1989	0.0015690376569037657	9	5736
1990	0.0022807017543859647	13	5700
1991	0.002546257002206756	15	5891
1992	0.0020073603211776514	12	5978
1993	0.002517200872629636	15	5959
1994	0.0029855697462265714	18	6029
1995	0.0020233463035019454	13	6425
1996	0.0027243832299076736	18	6607
1997	0.0031487312465271347	17	5399
1998	0.0013785497656465398	5	3627
1999	0.0012733446519524619	9	7068
2000	0.001580739299610895	13	8224
2001	0.002160449373469682	15	6943
2002	0.0015340364333652923	8	5215
2003	0.0012503473186996387	9	7198
2004	0.0013469021251122418	9	6682
2005	0.000974025974025974	6	6160
2006	0.0005763688760806917	2	3470
2007	0.0028585040495474035	6	2099
2008	0.001167804527488322	13	11132
2009	0.0009535160905840286	16	16780
2010	0.0014308012486992717	22	15376
2011	0.0014297385620915032	21	14688
2012	0.0008987956138774043	15	16689
2013	0.0012501953430223472	24	19197
