year	portion	word_count	total_count
1945	0	0	276
1946	0.001321003963011889	2	1514
1947	0	0	1655
1948	0.001488095238095238	3	2016
1949	0	0	2502
1950	0	0	2773
1951	0.00035523978685612787	1	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0.00026048450117218026	1	3839
1958	0.0002674511901577962	1	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0	0	4995
1965	0.0001863932898415657	1	5365
1966	0.00018148820326678765	1	5510
1967	0.000177367860943597	1	5638
1968	0.00016716817118020728	1	5982
1969	0	0	5794
1970	0.00033630401883302503	2	5947
1971	0.00019968051118210862	1	5008
1972	0	0	6181
1973	0	0	5920
1974	0	0	5245
1975	0.0002014098690835851	1	4965
1976	0.000583544057576347	3	5141
1977	0.0005556584552694943	3	5399
1978	0.00018086453246518358	1	5529
1979	0.0005682894487592347	3	5279
1980	0.0018450184501845018	10	5420
1981	0.0009382623381497466	5	5329
1982	0.0020680579056213573	11	5319
1983	0.0020813623462630085	11	5285
1984	0.002066115702479339	11	5324
1985	0.0017497812773403325	10	5715
1986	0.002506748939452372	13	5186
1987	0.0025598829767782046	14	5469
1988	0.0016342836390049029	9	5507
1989	0.004707112970711297	27	5736
1990	0.002807017543859649	16	5700
1991	0.0015277542013240537	9	5891
1992	0.003011040481766477	18	5978
1993	0.0023493874811209934	14	5959
1994	0.0014927848731132857	9	6029
1995	0.0020233463035019454	13	6425
1996	0.0013621916149538368	9	6607
1997	0.0016669753658084831	9	5399
1998	0.0013785497656465398	5	3627
1999	0.0008488964346349745	6	7068
2000	0.002796692607003891	23	8224
2001	0.00273656920639493	19	6943
2002	0.0032598274209012464	17	5215
2003	0.0031953320366768546	23	7198
2004	0.0020951810835079317	14	6682
2005	0.0021103896103896102	13	6160
2006	0.00345821325648415	12	3470
2007	0.004287756074321105	9	2099
2008	0.0018864534674811354	21	11132
2009	0.0029797377830750892	50	16780
2010	0.0035119667013527576	54	15376
2011	0.0034041394335511985	50	14688
2012	0.0028761459644076936	48	16689
2013	0.0032817627754336614	63	19197
