year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0.0002002002002002002	1	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0.00016716817118020728	1	5982
1969	0	0	5794
1970	0.00016815200941651252	1	5947
1971	0.00019968051118210862	1	5008
1972	0	0	6181
1973	0.00016891891891891893	1	5920
1974	0	0	5245
1975	0.0006042296072507553	3	4965
1976	0.000583544057576347	3	5141
1977	0.0003704389701796629	2	5399
1978	0.00018086453246518358	1	5529
1979	0.00018942981625307822	1	5279
1980	0.00036900369003690036	2	5420
1981	0.00018765246762994934	1	5329
1982	0.00018800526414739614	1	5319
1983	0	0	5285
1984	0.00018782870022539445	1	5324
1985	0.0006999125109361329	4	5715
1986	0	0	5186
1987	0	0	5469
1988	0.00018158707100054475	1	5507
1989	0	0	5736
1990	0.0003508771929824561	2	5700
1991	0	0	5891
1992	0.00033456005352960856	2	5978
1993	0.0001678133915086424	1	5959
1994	0.0001658649859014762	1	6029
1995	0	0	6425
1996	0.00015135462388375965	1	6607
1997	0.0005556584552694943	3	5399
1998	0	0	3627
1999	0	0	7068
2000	0	0	8224
2001	0.00043208987469393634	3	6943
2002	0.00019175455417066154	1	5215
2003	0	0	7198
2004	0	0	6682
2005	0	0	6160
2006	0	0	3470
2007	0	0	2099
2008	0.00017966223499820338	2	11132
2009	0	0	16780
2010	0.00006503642039542144	1	15376
2011	0.00013616557734204794	2	14688
2012	0.0001198394151836539	2	16689
2013	0.00010418294525186227	2	19197
