year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0	0	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0	0	4583
1964	0.0002002002002002002	1	4995
1965	0	0	5365
1966	0	0	5510
1967	0	0	5638
1968	0	0	5982
1969	0.00017259233690024162	1	5794
1970	0	0	5947
1971	0	0	5008
1972	0	0	6181
1973	0.00016891891891891893	1	5920
1974	0	0	5245
1975	0	0	4965
1976	0	0	5141
1977	0.0011113169105389886	6	5399
1978	0.00036172906493036716	2	5529
1979	0.0015154385300246258	8	5279
1980	0.002029520295202952	11	5420
1981	0.0007506098705197974	4	5329
1982	0.0009400263207369807	5	5319
1983	0.0013245033112582781	7	5285
1984	0.0007513148009015778	4	5324
1985	0.00034995625546806647	2	5715
1986	0.0015426147319706903	8	5186
1987	0.00018284878405558602	1	5469
1988	0.0009079353550027238	5	5507
1989	0.0012203626220362621	7	5736
1990	0.0005263157894736842	3	5700
1991	0.001188253267696486	7	5891
1992	0.00033456005352960856	2	5978
1993	0.0005034401745259272	3	5959
1994	0.0004975949577044286	3	6029
1995	0.000933852140077821	6	6425
1996	0.0012108369910700772	8	6607
1997	0.0005556584552694943	3	5399
1998	0.0019299696719051558	7	3627
1999	0.0007074136955291454	5	7068
2000	0.0008511673151750973	7	8224
2001	0.0007201497911565605	5	6943
2002	0.0005752636625119846	3	5215
2003	0.0006946373992775772	5	7198
2004	0.0010475905417539658	7	6682
2005	0.001948051948051948	12	6160
2006	0.001440922190201729	5	3470
2007	0.0019056693663649356	4	2099
2008	0.0007186489399928135	8	11132
2009	0.0002979737783075089	5	16780
2010	0.0008454734651404787	13	15376
2011	0.0008169934640522876	12	14688
2012	0.0007789561986937504	13	16689
2013	0.0001562744178777934	3	19197
