year	portion	word_count	total_count
1945	0	0	276
1946	0	0	1514
1947	0	0	1655
1948	0	0	2016
1949	0	0	2502
1950	0	0	2773
1951	0	0	2815
1952	0	0	2914
1953	0	0	3033
1954	0	0	3257
1955	0	0	3852
1956	0	0	3837
1957	0	0	3839
1958	0	0	3739
1959	0.0007863695937090433	3	3815
1960	0	0	3775
1961	0	0	4413
1962	0	0	4167
1963	0.0006545930613135501	3	4583
1964	0.0002002002002002002	1	4995
1965	0.0001863932898415657	1	5365
1966	0.0007259528130671506	4	5510
1967	0.000354735721887194	2	5638
1968	0.0010030090270812437	6	5982
1969	0.0006903693476009665	4	5794
1970	0.00016815200941651252	1	5947
1971	0.000998402555910543	5	5008
1972	0.00032357223750202233	2	6181
1973	0.0010135135135135136	6	5920
1974	0.001143946615824595	6	5245
1975	0.0008056394763343404	4	4965
1976	0.001167088115152694	6	5141
1977	0.0014817558807186516	8	5399
1978	0.0018086453246518358	10	5529
1979	0.0018942981625307824	10	5279
1980	0.0007380073800738007	4	5420
1981	0.00281478701444924	15	5329
1982	0.001504042113179169	8	5319
1983	0.0034058656575212867	18	5285
1984	0.0015026296018031556	8	5324
1985	0.0029746281714785653	17	5715
1986	0.0021210952564596993	11	5186
1987	0.0032912781130005485	18	5469
1988	0.002542218994007627	14	5507
1989	0.0022663877266387725	13	5736
1990	0.003157894736842105	18	5700
1991	0.0035647598030894585	21	5891
1992	0.004349280695884911	26	5978
1993	0.0026850142641382784	16	5959
1994	0.0026538397744236193	16	6029
1995	0.0026459143968871595	17	6425
1996	0.0010594823671863176	7	6607
1997	0.002222633821077977	12	5399
1998	0.0011028398125172319	4	3627
1999	0.0022637238256932655	16	7068
2000	0.0014591439688715954	12	8224
2001	0.001296269624081809	9	6943
2002	0.0013422818791946308	7	5215
2003	0.0020839121978327314	15	7198
2004	0.000299311583358276	2	6682
2005	0.0006493506493506494	4	6160
2006	0.001729106628242075	6	3470
2007	0.0009528346831824678	2	2099
2008	0.0006288178224937119	7	11132
2009	0.0002979737783075089	5	16780
2010	0.0007804370447450572	12	15376
2011	0.0012254901960784314	18	14688
2012	0.0008987956138774043	15	16689
2013	0.0010939209251445538	21	19197
